,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
144,102.0,16.0,4.0,1.0,1.0
145,75.0,7.0,50.0,2.0,3.0
146,17.0,1.0,3.0,1.0,1.0
147,76.0,2.0,98.0,5.0,5.0
148,2.0,1.0,121.0,1.0,2.0
149,1.0,38.0,1.0,3.0,1.0
150,1.0,3.0,13.0,10.0,4.0
151,32.0,2.0,201.0,3.0,1.0
152,4.0,11.0,1.0,1.0,2.0
153,32.0,39.0,1.0,1.0,23.0
154,1.0,2.0,134.0,3.0,1.0
155,3.0,2.0,87.0,1.0,2.0
156,1.0,1.0,2.0,3.0,29.0
157,2.0,3.0,5.0,1.0,3.0
158,4.0,2.0,21.0,1.0,29.0
159,1.0,30.0,1.0,2.0,5.0
160,27.0,4.0,17.0,1.0,3.0
161,55.0,5.0,1.0,4.0,1.0
162,3.0,3.0,74.0,2.0,24.0
163,51.0,1.0,12.0,94.0,2.0
164,5.0,3.0,69.0,7.0,40.0
165,5.0,1.0,19.0,2.0,1.0
166,2.0,1.0,11.0,1.0,2.0
167,14.0,145.0,15.0,1.0,15.0
168,3.0,20.0,18.0,2.0,1.0
169,63.0,218.0,3.0,1.0,3.0
170,5.0,11.0,1.0,14.0,1.0
171,1.0,43.0,1.0,83.0,1.0
172,1.0,12.0,141.0,1.0,2.0
173,101.0,1.0,3.0,64.0,5.0
174,1.0,1.0,21.0,1.0,3.0
175,4.0,174.0,3.0,7.0,1.0
176,4.0,5.0,10.0,1.0,5.0
177,1.0,1.0,4.0,1.0,3.0
178,14.0,5.0,1.0,1.0,4.0
179,2.0,3.0,4.0,1.0,28.0
180,10.0,71.0,1.0,1.0,1.0
181,1.0,7.0,4.0,16.0,21.0
182,5.0,1.0,24.0,75.0,22.0
183,1.0,202.0,1.0,2.0,6.0
184,3.0,3.0,2.0,1.0,9.0
185,1.0,60.0,8.0,2.0,3.0
186,1.0,5.0,5.0,1.0,2.0
187,13.0,1.0,3.0,1.0,19.0
188,8.0,2.0,131.0,1.0,1.0
189,5.0,1.0,117.0,1.0,1.0
190,52.0,19.0,2.0,5.0,1.0
191,4.0,2.0,33.0,3.0,1.0
192,51.0,13.0,1.0,1.0,12.0
193,1.0,2.0,3.0,1.0,3.0
194,43.0,2.0,13.0,2.0,73.0
195,4.0,4.0,1.0,4.0,7.0
196,1.0,11.0,40.0,1.0,1.0
197,1.0,25.0,38.0,2.0,104.0
198,2.0,1.0,2.0,1.0,105.0
199,16.0,88.0,3.0,1.0,6.0
200,30.0,1.0,3.0,14.0,1.0
201,7.0,5.0,11.0,1.0,8.0
202,1.0,1.0,35.0,1.0,1.0
203,1.0,8.0,35.0,1.0,1.0
204,26.0,15.0,16.0,1.0,133.0
205,3.0,1.0,11.0,1.0,141.0
206,72.0,1.0,3.0,12.0,1.0
207,2.0,1.0,4.0,1.0,1.0
208,5.0,12.0,2.0,1.0,1.0
209,5.0,4.0,1.0,6.0,36.0
210,3.0,1.0,2.0,5.0,1.0
211,4.0,2.0,64.0,1.0,5.0
212,2.0,1.0,1.0,9.0,6.0
213,2.0,6.0,2.0,7.0,2.0
214,7.0,23.0,2.0,1.0,4.0
215,3.0,1.0,2.0,22.0,3.0
216,5.0,2.0,4.0,1.0,6.0
217,3.0,1.0,3.0,1.0,38.0
218,27.0,3.0,10.0,1.0,27.0
219,4.0,4.0,1.0,1.0,1.0
220,1.0,2.0,13.0,1.0,123.0
221,1.0,1.0,7.0,14.0,170.0
222,2.0,4.0,13.0,1.0,3.0
223,54.0,17.0,1.0,1.0,4.0
224,1.0,4.0,4.0,7.0,62.0
225,6.0,1.0,4.0,1.0,2.0
226,45.0,3.0,7.0,1.0,3.0
227,30.0,9.0,1.0,4.0,7.0
228,1.0,15.0,4.0,1.0,21.0
229,2.0,191.0,1.0,3.0,8.0
230,6.0,10.0,1.0,2.0,7.0
231,2.0,2.0,34.0,9.0,3.0
232,3.0,4.0,2.0,1.0,6.0
233,2.0,4.0,3.0,3.0,35.0
234,5.0,19.0,1.0,1.0,1.0
235,10.0,6.0,2.0,1.0,3.0
236,2.0,12.0,8.0,2.0,1.0
237,35.0,10.0,3.0,2.0,1.0
238,4.0,1.0,5.0,2.0,1.0
239,24.0,2.0,2.0,40.0,6.0
240,1.0,1.0,77.0,1.0,8.0
241,4.0,10.0,1.0,1.0,3.0
242,29.0,1.0,3.0,1.0,33.0
243,11.0,3.0,4.0,1.0,11.0
244,1.0,51.0,62.0,1.0,1.0
245,5.0,17.0,115.0,1.0,23.0
246,41.0,3.0,4.0,1.0,7.0
247,44.0,3.0,1.0,3.0,16.0
248,3.0,3.0,3.0,3.0,42.0
249,1.0,6.0,1.0,4.0,6.0
250,1.0,4.0,3.0,1.0,2.0
251,1.0,41.0,1.0,1.0,13.0
252,24.0,3.0,1.0,12.0,1.0
253,5.0,1.0,17.0,1.0,91.0
254,1.0,11.0,7.0,1.0,46.0
255,9.0,4.0,4.0,1.0,1.0
256,1.0,7.0,8.0,2.0,80.0
257,5.0,12.0,10.0,2.0,43.0
258,1.0,1.0,186.0,1.0,3.0
259,18.0,7.0,2.0,1.0,35.0
260,2.0,6.0,4.0,1.0,152.0
261,1.0,1.0,3.0,1.0,5.0
262,12.0,1.0,8.0,23.0,3.0
263,1.0,3.0,4.0,1.0,25.0
264,7.0,12.0,36.0,13.0,17.0
265,2.0,58.0,3.0,6.0,8.0
266,6.0,31.0,54.0,12.0,3.0
267,4.0,4.0,1.0,1.0,166.0
268,4.0,24.0,7.0,2.0,68.0
269,17.0,28.0,14.0,2.0,11.0
270,3.0,12.0,2.0,1.0,26.0
271,6.0,9.0,128.0,2.0,40.0
272,11.0,15.0,3.0,1.0,1.0
273,1.0,1.0,1.0,19.0,58.0
274,62.0,1.0,1.0,35.0,39.0
275,34.0,3.0,5.0,2.0,76.0
276,1.0,2.0,5.0,28.0,1.0
277,8.0,4.0,1.0,3.0,7.0
278,1.0,3.0,5.0,1.0,18.0
279,2.0,9.0,2.0,2.0,7.0
280,8.0,1.0,12.0,10.0,1.0
281,53.0,3.0,1.0,3.0,1.0
282,21.0,14.0,34.0,7.0,4.0
283,2.0,2.0,4.0,53.0,1.0
284,23.0,4.0,1.0,1.0,2.0
285,1.0,26.0,6.0,2.0,3.0
286,7.0,1.0,16.0,1.0,1.0
287,30.0,9.0,2.0,1.0,7.0
288,7.0,5.0,1.0,1.0,5.0
289,4.0,7.0,1.0,1.0,1.0
290,21.0,24.0,5.0,1.0,1.0
291,12.0,8.0,5.0,11.0,85.0
292,1.0,9.0,13.0,44.0,11.0
293,2.0,8.0,3.0,1.0,6.0
294,6.0,5.0,8.0,1.0,1.0
295,1.0,1.0,1.0,1.0,4.0
296,11.0,1.0,2.0,1.0,39.0
297,1.0,2.0,38.0,1.0,52.0
298,1.0,7.0,1.0,2.0,1.0
299,2.0,24.0,4.0,1.0,1.0
300,13.0,3.0,7.0,20.0,1.0
301,1.0,1.0,18.0,3.0,1.0
302,4.0,4.0,12.0,2.0,8.0
303,1.0,29.0,3.0,1.0,22.0
304,23.0,23.0,45.0,1.0,5.0
305,2.0,2.0,8.0,1.0,1.0
306,3.0,7.0,20.0,1.0,2.0
307,15.0,21.0,24.0,3.0,5.0
308,1.0,2.0,2.0,4.0,1.0
309,2.0,1.0,29.0,16.0,1.0
310,1.0,1.0,1.0,2.0,134.0
311,13.0,11.0,6.0,1.0,18.0
