,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
144,2.0,82.0,10.0,2.0,5.0
145,55.0,2.0,8.0,4.0,3.0
146,4.0,1.0,38.0,1.0,1.0
147,1.0,36.0,8.0,11.0,20.0
148,4.0,20.0,1.0,1.0,3.0
149,14.0,1.0,63.0,2.0,108.0
150,1.0,9.0,3.0,2.0,19.0
151,3.0,3.0,1.0,3.0,1.0
152,5.0,3.0,1.0,21.0,10.0
153,7.0,1.0,5.0,6.0,101.0
154,9.0,12.0,3.0,84.0,34.0
155,1.0,87.0,1.0,1.0,3.0
156,4.0,2.0,32.0,28.0,206.0
157,11.0,3.0,115.0,1.0,2.0
158,6.0,11.0,1.0,2.0,2.0
159,26.0,2.0,1.0,5.0,6.0
160,3.0,46.0,1.0,1.0,1.0
161,50.0,8.0,1.0,14.0,7.0
162,36.0,1.0,1.0,1.0,133.0
163,2.0,13.0,8.0,1.0,1.0
164,1.0,1.0,21.0,1.0,23.0
165,7.0,3.0,31.0,2.0,7.0
166,5.0,11.0,1.0,3.0,1.0
167,24.0,4.0,186.0,16.0,5.0
168,4.0,18.0,1.0,48.0,32.0
169,1.0,2.0,1.0,11.0,2.0
170,2.0,6.0,32.0,58.0,129.0
171,1.0,1.0,1.0,3.0,3.0
172,13.0,1.0,2.0,7.0,1.0
173,1.0,8.0,4.0,1.0,1.0
174,2.0,1.0,9.0,39.0,17.0
175,67.0,15.0,1.0,8.0,3.0
176,3.0,1.0,122.0,1.0,40.0
177,1.0,2.0,3.0,3.0,2.0
178,61.0,2.0,3.0,2.0,1.0
179,51.0,1.0,50.0,30.0,1.0
180,1.0,3.0,1.0,19.0,4.0
181,24.0,12.0,1.0,4.0,8.0
182,5.0,7.0,3.0,1.0,52.0
183,2.0,4.0,1.0,3.0,329.0
184,1.0,2.0,1.0,2.0,1.0
185,49.0,1.0,10.0,1.0,128.0
186,2.0,14.0,6.0,2.0,21.0
187,3.0,1.0,4.0,1.0,456.0
188,3.0,2.0,60.0,2.0,3.0
189,2.0,1.0,73.0,1.0,2.0
190,1.0,9.0,1.0,28.0,2.0
191,1.0,38.0,2.0,1.0,1.0
192,28.0,1.0,3.0,44.0,6.0
193,22.0,4.0,7.0,3.0,4.0
194,1.0,2.0,6.0,26.0,1.0
195,1.0,333.0,7.0,1.0,1.0
196,41.0,1.0,5.0,1.0,7.0
197,11.0,1.0,29.0,1.0,23.0
198,4.0,17.0,8.0,1.0,8.0
199,7.0,8.0,37.0,2.0,3.0
200,3.0,3.0,1.0,1.0,71.0
201,7.0,1.0,4.0,141.0,6.0
202,19.0,29.0,128.0,5.0,9.0
203,1.0,1.0,5.0,3.0,1.0
204,30.0,2.0,2.0,1.0,3.0
205,5.0,1.0,1.0,60.0,5.0
206,1.0,3.0,11.0,1.0,5.0
207,9.0,12.0,1.0,9.0,91.0
208,28.0,1.0,17.0,6.0,7.0
209,3.0,20.0,11.0,8.0,36.0
210,7.0,1.0,1.0,3.0,44.0
211,40.0,3.0,1.0,1.0,1.0
212,29.0,15.0,2.0,1.0,43.0
213,5.0,9.0,2.0,1.0,149.0
214,6.0,1.0,1.0,11.0,89.0
215,1.0,16.0,1.0,1.0,4.0
216,9.0,1.0,6.0,3.0,17.0
217,11.0,58.0,23.0,1.0,24.0
218,21.0,1.0,1.0,5.0,79.0
219,1.0,7.0,1.0,8.0,165.0
220,1.0,11.0,2.0,4.0,63.0
221,1.0,2.0,12.0,1.0,34.0
222,1.0,4.0,1.0,1.0,47.0
223,42.0,3.0,2.0,3.0,10.0
224,2.0,3.0,32.0,1.0,5.0
225,1.0,2.0,28.0,1.0,13.0
226,15.0,1.0,43.0,1.0,72.0
227,2.0,9.0,3.0,5.0,7.0
228,18.0,3.0,1.0,1.0,1.0
229,2.0,3.0,3.0,1.0,6.0
230,8.0,27.0,1.0,1.0,18.0
231,2.0,4.0,1.0,3.0,2.0
232,5.0,1.0,2.0,3.0,38.0
233,3.0,5.0,4.0,1.0,1.0
234,29.0,22.0,4.0,3.0,7.0
235,1.0,2.0,1.0,1.0,1.0
236,2.0,1.0,15.0,1.0,85.0
237,39.0,52.0,13.0,2.0,4.0
238,21.0,7.0,1.0,2.0,1.0
239,1.0,7.0,1.0,2.0,20.0
240,5.0,15.0,1.0,3.0,18.0
241,5.0,3.0,1.0,3.0,1.0
242,34.0,1.0,1.0,1.0,2.0
243,27.0,7.0,4.0,5.0,338.0
244,2.0,7.0,1.0,6.0,397.0
245,15.0,24.0,1.0,1.0,93.0
246,2.0,3.0,1.0,1.0,11.0
247,10.0,5.0,1.0,1.0,1.0
248,1.0,1.0,33.0,2.0,51.0
249,1.0,1.0,160.0,2.0,1.0
250,1.0,30.0,16.0,67.0,4.0
251,13.0,1.0,13.0,3.0,11.0
252,1.0,1.0,98.0,2.0,4.0
253,3.0,2.0,107.0,2.0,1.0
254,7.0,6.0,1.0,1.0,31.0
255,1.0,3.0,4.0,1.0,1.0
256,10.0,1.0,1.0,5.0,1.0
257,4.0,3.0,19.0,5.0,5.0
258,3.0,1.0,2.0,14.0,23.0
259,11.0,1.0,30.0,1.0,1.0
260,1.0,1.0,146.0,114.0,4.0
261,2.0,1.0,39.0,1.0,5.0
262,1.0,22.0,71.0,1.0,2.0
263,22.0,28.0,1.0,2.0,14.0
264,2.0,3.0,39.0,16.0,9.0
265,2.0,9.0,39.0,1.0,11.0
266,7.0,24.0,4.0,4.0,20.0
267,1.0,1.0,7.0,1.0,1.0
268,3.0,1.0,18.0,3.0,45.0
269,11.0,20.0,6.0,27.0,35.0
270,1.0,35.0,1.0,1.0,25.0
271,1.0,2.0,2.0,51.0,1.0
272,5.0,6.0,1.0,1.0,12.0
273,4.0,78.0,1.0,1.0,41.0
274,1.0,32.0,7.0,3.0,5.0
275,4.0,2.0,1.0,7.0,34.0
276,35.0,1.0,3.0,7.0,14.0
277,10.0,1.0,1.0,17.0,36.0
278,2.0,5.0,1.0,4.0,1.0
279,2.0,3.0,1.0,15.0,1.0
280,10.0,3.0,1.0,1.0,8.0
281,15.0,10.0,25.0,4.0,1.0
282,14.0,2.0,1.0,11.0,1.0
283,2.0,31.0,2.0,81.0,1.0
284,1.0,33.0,4.0,1.0,17.0
285,1.0,1.0,1.0,5.0,7.0
286,2.0,4.0,2.0,1.0,54.0
287,1.0,3.0,1.0,2.0,2.0
288,7.0,42.0,2.0,3.0,1.0
289,2.0,1.0,1.0,1.0,1.0
290,17.0,6.0,1.0,1.0,1.0
291,3.0,1.0,1.0,120.0,6.0
292,8.0,4.0,1.0,1.0,14.0
293,1.0,29.0,1.0,1.0,4.0
294,12.0,5.0,1.0,53.0,8.0
295,6.0,33.0,1.0,7.0,1.0
296,21.0,7.0,1.0,3.0,3.0
297,1.0,1.0,1.0,8.0,2.0
298,5.0,44.0,1.0,7.0,18.0
299,1.0,4.0,2.0,1.0,3.0
300,3.0,24.0,37.0,16.0,54.0
301,3.0,67.0,5.0,2.0,1.0
302,12.0,29.0,64.0,8.0,55.0
303,3.0,48.0,1.0,13.0,9.0
304,1.0,14.0,2.0,2.0,1.0
305,65.0,3.0,34.0,159.0,4.0
306,1.0,22.0,2.0,1.0,1.0
307,4.0,9.0,3.0,4.0,24.0
308,1.0,34.0,4.0,4.0,1.0
309,1.0,40.0,2.0,1.0,3.0
310,14.0,2.0,1.0,4.0,3.0
311,2.0,6.0,1.0,30.0,2.0
312,9.0,13.0,1.0,5.0,3.0
313,19.0,1.0,1.0,1.0,29.0
314,1.0,1.0,22.0,45.0,1.0
315,1.0,14.0,4.0,39.0,6.0
316,1.0,35.0,3.0,1.0,4.0
317,1.0,5.0,2.0,2.0,3.0
318,2.0,2.0,2.0,2.0,3.0
319,1.0,2.0,27.0,1.0,1.0
320,16.0,1.0,2.0,2.0,2.0
321,1.0,1.0,2.0,4.0,1.0
322,1.0,2.0,27.0,4.0,18.0
323,6.0,1.0,7.0,7.0,1.0
324,1.0,1.0,243.0,1.0,1.0
325,3.0,49.0,9.0,114.0,6.0
326,1.0,2.0,12.0,1.0,16.0
327,1.0,19.0,4.0,1.0,1.0
328,1.0,1.0,3.0,4.0,2.0
329,1.0,3.0,118.0,2.0,12.0
330,6.0,1.0,1.0,45.0,15.0
331,1.0,1.0,3.0,5.0,1.0
332,11.0,1.0,128.0,2.0,2.0
333,1.0,1.0,1.0,1.0,58.0
334,1.0,5.0,1.0,13.0,2.0
335,17.0,1.0,6.0,2.0,1.0
336,1.0,18.0,4.0,8.0,3.0
337,5.0,1.0,122.0,35.0,1.0
338,2.0,1.0,3.0,1.0,2.0
339,12.0,1.0,22.0,1.0,1.0
340,1.0,6.0,206.0,22.0,1.0
341,4.0,1.0,29.0,1.0,4.0
342,33.0,2.0,2.0,2.0,7.0
343,1.0,1.0,1.0,1.0,39.0
344,2.0,1.0,1.0,1.0,183.0
345,1.0,1.0,1.0,7.0,2.0
346,16.0,1.0,1.0,2.0,1.0
347,19.0,1.0,1.0,9.0,10.0
348,1.0,4.0,20.0,3.0,2.0
349,3.0,101.0,40.0,11.0,47.0
350,6.0,2.0,2.0,1.0,1.0
351,1.0,15.0,5.0,1.0,19.0
352,19.0,2.0,3.0,1.0,5.0
353,2.0,1.0,15.0,4.0,1.0
354,1.0,1.0,24.0,2.0,2.0
355,104.0,1.0,5.0,5.0,1.0
356,1.0,3.0,59.0,2.0,9.0
357,1.0,1.0,6.0,17.0,6.0
358,1.0,3.0,95.0,4.0,3.0
359,1.0,1.0,1.0,1.0,29.0
360,27.0,1.0,32.0,1.0,2.0
361,6.0,10.0,1.0,1.0,10.0
362,22.0,1.0,6.0,5.0,1.0
363,1.0,2.0,105.0,4.0,1.0
364,1.0,1.0,25.0,1.0,5.0
365,2.0,10.0,1.0,3.0,17.0
366,3.0,5.0,194.0,1.0,6.0
367,1.0,1.0,1.0,8.0,1.0
368,1.0,1.0,24.0,1.0,4.0
369,1.0,4.0,29.0,1.0,20.0
370,5.0,1.0,12.0,74.0,120.0
371,2.0,2.0,15.0,6.0,5.0
372,11.0,2.0,10.0,2.0,9.0
373,7.0,1.0,44.0,13.0,7.0
374,162.0,37.0,1.0,1.0,1.0
375,10.0,2.0,302.0,1.0,1.0
376,1.0,1.0,35.0,2.0,17.0
377,2.0,2.0,57.0,1.0,1.0
378,648.0,1.0,8.0,1.0,58.0
379,1.0,24.0,22.0,1.0,52.0
380,25.0,1.0,51.0,3.0,1.0
381,9.0,15.0,43.0,1.0,2.0
382,5.0,1.0,158.0,1.0,1.0
383,1.0,1.0,9.0,1.0,1.0
384,7.0,13.0,32.0,5.0,62.0
385,3.0,1.0,17.0,1.0,1.0
386,12.0,11.0,25.0,38.0,6.0
387,10.0,10.0,50.0,6.0,10.0
388,7.0,23.0,2.0,1.0,61.0
389,3.0,15.0,119.0,57.0,8.0
390,5.0,11.0,4.0,1.0,4.0
391,1.0,23.0,7.0,46.0,2.0
392,1.0,1.0,43.0,1.0,1.0
393,1.0,1.0,13.0,4.0,2.0
394,24.0,1.0,1.0,15.0,2.0
395,7.0,11.0,1.0,9.0,1.0
396,30.0,6.0,1.0,23.0,3.0
397,42.0,6.0,157.0,24.0,1.0
398,4.0,62.0,1.0,3.0,26.0
399,1.0,6.0,1.0,17.0,2.0
400,2.0,1.0,51.0,1.0,1.0
401,1.0,1.0,10.0,2.0,11.0
402,4.0,3.0,60.0,34.0,12.0
403,387.0,1.0,172.0,3.0,70.0
404,34.0,5.0,43.0,2.0,1.0
405,4.0,1.0,24.0,23.0,17.0
406,498.0,2.0,8.0,1.0,1.0
407,4.0,10.0,3.0,1.0,1.0
408,4.0,1.0,32.0,1.0,1.0
409,2.0,18.0,111.0,12.0,8.0
410,26.0,66.0,1.0,6.0,1.0
411,3.0,1.0,3.0,8.0,11.0
412,1.0,6.0,46.0,2.0,6.0
413,1.0,4.0,188.0,2.0,1.0
414,3.0,1.0,3.0,22.0,10.0
415,2.0,1.0,39.0,1.0,6.0
416,13.0,2.0,14.0,1.0,3.0
417,4.0,6.0,8.0,6.0,1.0
418,1.0,9.0,1.0,14.0,3.0
