,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
144,28.0,141.0,117.0,5.0,3.0
145,3.0,188.0,1.0,4.0,55.0
146,2.0,12.0,136.0,2.0,3.0
147,27.0,4.0,2.0,64.0,1.0
148,31.0,1.0,2.0,2.0,22.0
149,4.0,219.0,12.0,86.0,1.0
150,102.0,1.0,1.0,3.0,28.0
151,1.0,6.0,10.0,7.0,2.0
152,1.0,61.0,2.0,2.0,1.0
153,62.0,47.0,34.0,1.0,2.0
154,2.0,170.0,1.0,1.0,24.0
155,4.0,199.0,3.0,1.0,5.0
156,1.0,2.0,192.0,1.0,3.0
157,1.0,36.0,1.0,16.0,1.0
158,21.0,1.0,24.0,1.0,3.0
159,1.0,60.0,1.0,2.0,5.0
160,9.0,5.0,2.0,1.0,12.0
161,6.0,18.0,4.0,14.0,3.0
162,27.0,7.0,44.0,1.0,2.0
163,8.0,1.0,2.0,9.0,1.0
164,4.0,65.0,5.0,60.0,3.0
165,1.0,21.0,1.0,34.0,28.0
166,12.0,1.0,35.0,75.0,1.0
167,3.0,1.0,8.0,1.0,6.0
168,12.0,12.0,2.0,1.0,30.0
169,24.0,54.0,11.0,1.0,5.0
170,6.0,1.0,23.0,28.0,5.0
171,45.0,1.0,11.0,1.0,3.0
172,50.0,1.0,1.0,1.0,1.0
173,3.0,1.0,31.0,1.0,1.0
174,1.0,3.0,9.0,1.0,3.0
175,1.0,27.0,1.0,28.0,21.0
176,3.0,3.0,3.0,9.0,1.0
177,1.0,2.0,12.0,1.0,72.0
178,8.0,88.0,44.0,2.0,22.0
179,1.0,3.0,64.0,21.0,8.0
180,1.0,1.0,79.0,9.0,12.0
181,1.0,2.0,1.0,1.0,12.0
182,14.0,3.0,40.0,18.0,1.0
183,67.0,2.0,2.0,84.0,106.0
184,3.0,6.0,3.0,65.0,5.0
185,4.0,2.0,1.0,5.0,139.0
186,50.0,16.0,1.0,2.0,1.0
187,31.0,15.0,16.0,22.0,28.0
188,3.0,10.0,2.0,6.0,140.0
189,1.0,1.0,7.0,12.0,9.0
190,2.0,2.0,2.0,23.0,108.0
191,1.0,6.0,6.0,1.0,7.0
192,6.0,2.0,8.0,2.0,1.0
193,1.0,19.0,5.0,10.0,1.0
194,1.0,13.0,1.0,15.0,3.0
195,67.0,17.0,65.0,14.0,4.0
196,49.0,3.0,37.0,33.0,1.0
197,19.0,4.0,2.0,5.0,4.0
198,6.0,4.0,9.0,1.0,5.0
199,2.0,2.0,1.0,1.0,3.0
200,3.0,17.0,3.0,3.0,4.0
201,53.0,2.0,2.0,1.0,38.0
202,1.0,8.0,2.0,1.0,1.0
203,3.0,3.0,27.0,2.0,7.0
204,5.0,13.0,41.0,17.0,121.0
205,2.0,1.0,14.0,26.0,8.0
206,27.0,3.0,1.0,1.0,2.0
207,1.0,1.0,1.0,1.0,6.0
208,32.0,2.0,1.0,2.0,38.0
209,1.0,1.0,2.0,1.0,1.0
210,1.0,3.0,7.0,5.0,1.0
211,44.0,7.0,13.0,1.0,2.0
212,44.0,2.0,11.0,3.0,20.0
213,5.0,3.0,117.0,1.0,58.0
214,1.0,2.0,53.0,6.0,3.0
215,2.0,17.0,46.0,3.0,1.0
216,1.0,1.0,1.0,119.0,157.0
217,2.0,1.0,4.0,3.0,3.0
218,3.0,12.0,1.0,3.0,8.0
219,32.0,9.0,3.0,3.0,40.0
220,35.0,5.0,11.0,5.0,1.0
221,9.0,9.0,1.0,2.0,3.0
222,2.0,2.0,2.0,47.0,8.0
223,4.0,6.0,2.0,1.0,2.0
224,1.0,1.0,4.0,5.0,1.0
225,11.0,1.0,12.0,1.0,7.0
226,2.0,5.0,1.0,1.0,1.0
227,2.0,40.0,132.0,17.0,3.0
228,9.0,1.0,3.0,37.0,7.0
229,5.0,2.0,5.0,31.0,6.0
230,4.0,24.0,1.0,8.0,32.0
231,4.0,25.0,1.0,3.0,8.0
232,4.0,24.0,32.0,1.0,2.0
233,1.0,36.0,2.0,5.0,24.0
234,3.0,10.0,7.0,4.0,38.0
235,1.0,9.0,3.0,12.0,16.0
236,5.0,1.0,1.0,1.0,46.0
237,6.0,1.0,18.0,1.0,3.0
238,2.0,1.0,18.0,5.0,38.0
239,10.0,7.0,5.0,1.0,33.0
240,2.0,5.0,34.0,4.0,46.0
241,31.0,34.0,13.0,1.0,5.0
242,3.0,1.0,3.0,39.0,1.0
243,1.0,3.0,2.0,3.0,95.0
244,14.0,4.0,47.0,1.0,3.0
245,12.0,4.0,12.0,48.0,104.0
246,11.0,4.0,7.0,1.0,3.0
247,3.0,3.0,12.0,3.0,3.0
248,36.0,1.0,33.0,3.0,1.0
249,48.0,1.0,15.0,1.0,144.0
250,34.0,13.0,41.0,15.0,23.0
251,23.0,32.0,38.0,4.0,6.0
252,43.0,3.0,20.0,1.0,30.0
253,26.0,22.0,1.0,4.0,172.0
254,1.0,28.0,1.0,2.0,8.0
255,16.0,1.0,20.0,1.0,65.0
256,18.0,23.0,15.0,16.0,72.0
257,14.0,1.0,3.0,1.0,42.0
258,40.0,15.0,9.0,4.0,13.0
259,8.0,1.0,2.0,11.0,25.0
260,1.0,2.0,1.0,4.0,1.0
261,21.0,1.0,1.0,4.0,1.0
262,7.0,3.0,1.0,4.0,56.0
263,19.0,18.0,1.0,2.0,3.0
264,1.0,8.0,1.0,1.0,1.0
265,20.0,5.0,3.0,1.0,8.0
266,8.0,17.0,1.0,4.0,13.0
267,2.0,1.0,4.0,3.0,5.0
268,19.0,2.0,1.0,3.0,22.0
269,1.0,1.0,1.0,1.0,2.0
270,2.0,1.0,15.0,9.0,1.0
271,3.0,3.0,1.0,1.0,9.0
272,2.0,11.0,1.0,2.0,9.0
273,1.0,1.0,1.0,3.0,85.0
274,25.0,10.0,20.0,1.0,40.0
275,17.0,29.0,4.0,1.0,20.0
276,1.0,26.0,1.0,23.0,5.0
277,3.0,4.0,1.0,1.0,2.0
278,7.0,2.0,1.0,114.0,1.0
279,1.0,1.0,1.0,1.0,1.0
280,2.0,16.0,1.0,4.0,1.0
281,1.0,1.0,3.0,1.0,41.0
282,1.0,1.0,33.0,2.0,1.0
283,28.0,1.0,1.0,1.0,15.0
284,1.0,42.0,16.0,1.0,1.0
285,6.0,5.0,1.0,5.0,5.0
286,7.0,1.0,1.0,5.0,200.0
287,3.0,7.0,3.0,6.0,1.0
288,9.0,1.0,1.0,46.0,1.0
289,1.0,13.0,1.0,27.0,132.0
290,6.0,18.0,39.0,3.0,1.0
291,8.0,3.0,1.0,12.0,53.0
292,1.0,1.0,2.0,1.0,7.0
293,1.0,1.0,1.0,1.0,11.0
294,2.0,2.0,1.0,6.0,5.0
295,68.0,68.0,1.0,1.0,1.0
296,14.0,1.0,1.0,1.0,4.0
297,46.0,6.0,32.0,8.0,19.0
298,1.0,55.0,1.0,1.0,6.0
299,1.0,3.0,1.0,3.0,2.0
300,5.0,32.0,5.0,1.0,12.0
301,1.0,43.0,1.0,5.0,4.0
302,2.0,1.0,2.0,3.0,3.0
303,42.0,4.0,1.0,1.0,92.0
304,2.0,14.0,1.0,2.0,1.0
305,17.0,6.0,1.0,1.0,1.0
306,19.0,6.0,1.0,4.0,5.0
307,2.0,24.0,3.0,9.0,5.0
308,16.0,2.0,1.0,8.0,4.0
309,4.0,33.0,31.0,7.0,18.0
310,1.0,7.0,1.0,3.0,49.0
311,10.0,1.0,1.0,8.0,30.0
312,1.0,41.0,8.0,2.0,3.0
313,6.0,11.0,1.0,4.0,12.0
314,1.0,1.0,3.0,15.0,35.0
315,9.0,3.0,1.0,1.0,12.0
316,1.0,1.0,1.0,2.0,45.0
317,16.0,1.0,1.0,1.0,7.0
318,1.0,2.0,1.0,1.0,39.0
319,3.0,30.0,20.0,7.0,61.0
320,1.0,4.0,1.0,24.0,1.0
321,8.0,2.0,52.0,2.0,41.0
322,1.0,45.0,1.0,1.0,2.0
323,16.0,26.0,1.0,1.0,91.0
324,1.0,3.0,1.0,1.0,7.0
325,3.0,31.0,1.0,32.0,18.0
326,1.0,80.0,1.0,2.0,8.0
327,2.0,24.0,1.0,1.0,55.0
328,6.0,3.0,93.0,1.0,16.0
329,1.0,6.0,1.0,44.0,2.0
330,1.0,26.0,9.0,1.0,3.0
331,3.0,33.0,1.0,2.0,6.0
332,11.0,5.0,3.0,3.0,19.0
333,2.0,6.0,1.0,10.0,8.0
334,3.0,5.0,4.0,69.0,3.0
335,13.0,1.0,118.0,8.0,1.0
336,2.0,3.0,80.0,1.0,2.0
337,20.0,2.0,1.0,3.0,8.0
338,6.0,9.0,105.0,15.0,1.0
339,30.0,47.0,4.0,13.0,5.0
340,2.0,2.0,7.0,1.0,26.0
341,1.0,5.0,44.0,21.0,1.0
342,2.0,29.0,3.0,2.0,12.0
343,1.0,1.0,1.0,1.0,2.0
344,9.0,2.0,4.0,1.0,1.0
345,6.0,1.0,12.0,159.0,37.0
346,21.0,18.0,6.0,48.0,1.0
347,7.0,1.0,3.0,3.0,5.0
348,1.0,1.0,42.0,1.0,1.0
349,1.0,5.0,14.0,7.0,2.0
350,1.0,34.0,37.0,4.0,4.0
351,25.0,6.0,8.0,1.0,3.0
352,1.0,6.0,1.0,17.0,56.0
353,5.0,3.0,1.0,1.0,1.0
354,2.0,1.0,6.0,1.0,1.0
355,6.0,1.0,15.0,1.0,1.0
356,21.0,51.0,42.0,1.0,4.0
357,10.0,1.0,5.0,1.0,23.0
358,6.0,102.0,4.0,52.0,3.0
359,1.0,3.0,3.0,1.0,19.0
360,2.0,1.0,22.0,55.0,5.0
361,2.0,1.0,43.0,1.0,6.0
362,5.0,2.0,14.0,7.0,5.0
363,1.0,1.0,3.0,20.0,2.0
364,1.0,1.0,2.0,17.0,11.0
365,1.0,1.0,4.0,30.0,19.0
366,1.0,14.0,26.0,3.0,21.0
367,19.0,1.0,16.0,1.0,4.0
368,1.0,2.0,1.0,11.0,1.0
369,5.0,1.0,9.0,84.0,1.0
370,3.0,5.0,4.0,11.0,20.0
371,1.0,1.0,10.0,60.0,1.0
372,1.0,1.0,6.0,85.0,30.0
373,15.0,1.0,7.0,3.0,1.0
374,1.0,1.0,6.0,40.0,2.0
375,29.0,1.0,10.0,1.0,1.0
376,1.0,1.0,7.0,1.0,3.0
377,1.0,2.0,34.0,99.0,2.0
378,2.0,1.0,12.0,16.0,1.0
379,6.0,1.0,7.0,14.0,9.0
380,1.0,1.0,5.0,7.0,9.0
381,1.0,1.0,70.0,20.0,3.0
382,27.0,13.0,46.0,3.0,1.0
383,33.0,2.0,34.0,7.0,8.0
384,3.0,2.0,1.0,2.0,13.0
385,1.0,1.0,2.0,13.0,13.0
386,1.0,1.0,13.0,36.0,39.0
387,1.0,1.0,60.0,5.0,2.0
388,102.0,1.0,93.0,1.0,5.0
389,6.0,3.0,27.0,27.0,1.0
390,15.0,1.0,3.0,39.0,69.0
391,1.0,14.0,4.0,2.0,1.0
392,15.0,3.0,65.0,9.0,13.0
393,11.0,17.0,28.0,32.0,13.0
394,35.0,1.0,116.0,1.0,23.0
395,1.0,6.0,1.0,4.0,2.0
396,2.0,1.0,6.0,111.0,11.0
397,1.0,2.0,1.0,5.0,1.0
398,17.0,8.0,6.0,2.0,18.0
399,1.0,8.0,8.0,4.0,1.0
400,14.0,6.0,29.0,4.0,1.0
401,6.0,1.0,33.0,16.0,1.0
402,1.0,2.0,8.0,31.0,11.0
403,1.0,3.0,1.0,5.0,63.0
404,32.0,1.0,1.0,6.0,1.0
405,1.0,1.0,302.0,5.0,17.0
406,1.0,1.0,15.0,1.0,1.0
407,5.0,37.0,102.0,3.0,3.0
408,121.0,3.0,1.0,2.0,6.0
409,363.0,5.0,9.0,1.0,23.0
410,7.0,4.0,1.0,57.0,5.0
411,16.0,16.0,1.0,34.0,2.0
412,15.0,1.0,100.0,1.0,8.0
413,2.0,1.0,1.0,4.0,3.0
414,435.0,42.0,1.0,2.0,9.0
415,1.0,2.0,8.0,1.0,2.0
416,7.0,10.0,1.0,7.0,3.0
417,1.0,2.0,41.0,1.0,30.0
418,4.0,1.0,1.0,1.0,1.0
419,1.0,14.0,31.0,40.0,1.0
420,5.0,3.0,16.0,31.0,23.0
421,1.0,60.0,1.0,2.0,2.0
422,3.0,7.0,126.0,1.0,10.0
423,1.0,2.0,19.0,29.0,4.0
424,5.0,14.0,59.0,2.0,2.0
425,6.0,1.0,15.0,1.0,1.0
426,4.0,11.0,18.0,3.0,7.0
427,10.0,1.0,194.0,80.0,4.0
428,13.0,8.0,46.0,4.0,8.0
429,1.0,1.0,41.0,1.0,2.0
430,3.0,1.0,22.0,2.0,16.0
431,7.0,11.0,65.0,8.0,19.0
432,24.0,1.0,1.0,1.0,2.0
433,405.0,34.0,32.0,8.0,3.0
434,7.0,66.0,47.0,19.0,1.0
435,20.0,1.0,111.0,9.0,72.0
436,36.0,15.0,29.0,1.0,64.0
437,2.0,1.0,38.0,2.0,2.0
438,2.0,4.0,1.0,9.0,1.0
439,1.0,23.0,116.0,3.0,47.0
440,289.0,1.0,49.0,7.0,2.0
441,3.0,1.0,14.0,4.0,3.0
442,5.0,21.0,12.0,21.0,122.0
443,1.0,2.0,12.0,1.0,1.0
444,10.0,19.0,37.0,2.0,1.0
445,18.0,1.0,18.0,2.0,9.0
446,1.0,4.0,42.0,17.0,7.0
447,5.0,1.0,1.0,1.0,1.0
448,2.0,29.0,46.0,43.0,5.0
449,13.0,11.0,145.0,10.0,1.0
450,4.0,6.0,10.0,13.0,2.0
451,4.0,7.0,8.0,1.0,2.0
452,1.0,7.0,7.0,2.0,2.0
453,1.0,5.0,155.0,2.0,4.0
454,15.0,1.0,8.0,9.0,3.0
455,1.0,9.0,1.0,1.0,1.0
456,4.0,2.0,1.0,20.0,17.0
457,1.0,38.0,20.0,1.0,54.0
458,1.0,1.0,12.0,1.0,2.0
459,1.0,4.0,22.0,1.0,2.0
460,3.0,7.0,48.0,1.0,9.0
461,3.0,3.0,11.0,1.0,1.0
462,1.0,15.0,11.0,5.0,75.0
463,4.0,8.0,1.0,1.0,9.0
464,1.0,4.0,49.0,8.0,1.0
465,1.0,10.0,2.0,6.0,8.0
466,1.0,22.0,49.0,1.0,4.0
467,1.0,43.0,40.0,1.0,1.0
468,1.0,19.0,158.0,21.0,13.0
469,1.0,5.0,4.0,1.0,1.0
470,1.0,4.0,15.0,2.0,2.0
