,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
144,27.0,9.0,126.0,2.0,3.0
145,22.0,173.0,1.0,4.0,28.0
146,1.0,57.0,8.0,1.0,1.0
147,57.0,45.0,4.0,20.0,12.0
148,1.0,112.0,3.0,1.0,21.0
149,13.0,1.0,1.0,1.0,1.0
150,1.0,2.0,14.0,3.0,1.0
151,5.0,1.0,10.0,4.0,42.0
152,68.0,1.0,1.0,84.0,9.0
153,2.0,22.0,45.0,1.0,53.0
154,3.0,2.0,5.0,4.0,58.0
155,2.0,7.0,1.0,2.0,5.0
156,9.0,18.0,27.0,48.0,106.0
157,1.0,1.0,195.0,127.0,3.0
158,63.0,4.0,2.0,30.0,1.0
159,18.0,8.0,2.0,5.0,3.0
160,1.0,1.0,1.0,1.0,2.0
161,30.0,93.0,1.0,65.0,6.0
162,4.0,1.0,3.0,2.0,153.0
163,1.0,25.0,7.0,1.0,5.0
164,1.0,15.0,33.0,7.0,5.0
165,50.0,3.0,117.0,1.0,2.0
166,2.0,2.0,1.0,1.0,1.0
167,1.0,1.0,4.0,12.0,1.0
168,1.0,2.0,1.0,28.0,71.0
169,3.0,2.0,1.0,2.0,7.0
170,1.0,4.0,1.0,3.0,1.0
171,2.0,1.0,7.0,2.0,1.0
172,1.0,3.0,1.0,44.0,19.0
173,5.0,13.0,1.0,31.0,7.0
174,2.0,1.0,3.0,1.0,39.0
175,5.0,2.0,2.0,1.0,1.0
176,1.0,1.0,2.0,1.0,4.0
177,3.0,2.0,3.0,4.0,26.0
178,2.0,290.0,1.0,3.0,5.0
179,1.0,17.0,2.0,2.0,38.0
180,24.0,13.0,1.0,1.0,1.0
181,4.0,1.0,7.0,3.0,6.0
182,35.0,1.0,1.0,34.0,2.0
183,2.0,2.0,8.0,8.0,1.0
184,2.0,15.0,3.0,3.0,1.0
185,1.0,20.0,1.0,7.0,1.0
186,3.0,10.0,32.0,4.0,61.0
187,24.0,1.0,3.0,3.0,1.0
188,2.0,3.0,11.0,88.0,34.0
189,4.0,15.0,3.0,1.0,24.0
190,9.0,1.0,14.0,1.0,7.0
191,3.0,2.0,2.0,1.0,2.0
192,1.0,2.0,69.0,4.0,6.0
193,1.0,1.0,14.0,3.0,5.0
194,3.0,1.0,6.0,1.0,1.0
195,2.0,2.0,2.0,1.0,6.0
196,7.0,10.0,7.0,45.0,1.0
197,18.0,5.0,19.0,1.0,1.0
198,2.0,7.0,1.0,3.0,21.0
199,5.0,6.0,6.0,3.0,13.0
200,1.0,1.0,1.0,2.0,168.0
201,2.0,12.0,1.0,1.0,165.0
202,39.0,13.0,81.0,7.0,5.0
203,36.0,20.0,18.0,1.0,30.0
204,77.0,11.0,3.0,1.0,8.0
205,1.0,3.0,1.0,1.0,9.0
206,29.0,2.0,1.0,2.0,3.0
207,22.0,2.0,63.0,21.0,5.0
208,1.0,3.0,3.0,1.0,6.0
209,29.0,1.0,1.0,1.0,3.0
210,51.0,23.0,5.0,2.0,1.0
211,1.0,1.0,142.0,1.0,33.0
212,21.0,3.0,1.0,1.0,45.0
213,3.0,40.0,7.0,1.0,36.0
214,2.0,9.0,1.0,1.0,21.0
215,21.0,3.0,2.0,1.0,90.0
216,1.0,2.0,4.0,5.0,14.0
217,5.0,1.0,9.0,1.0,43.0
218,1.0,1.0,7.0,3.0,95.0
219,2.0,17.0,27.0,10.0,4.0
220,11.0,1.0,3.0,1.0,81.0
221,1.0,4.0,1.0,5.0,23.0
222,1.0,3.0,1.0,2.0,10.0
223,1.0,3.0,1.0,1.0,17.0
224,4.0,5.0,1.0,1.0,7.0
225,68.0,9.0,1.0,1.0,55.0
226,2.0,3.0,1.0,9.0,45.0
227,7.0,3.0,3.0,5.0,11.0
228,18.0,2.0,1.0,1.0,7.0
229,66.0,2.0,1.0,1.0,1.0
230,2.0,1.0,25.0,1.0,72.0
231,2.0,30.0,1.0,2.0,4.0
232,3.0,21.0,1.0,3.0,17.0
233,34.0,1.0,1.0,1.0,156.0
234,7.0,26.0,1.0,3.0,2.0
235,1.0,2.0,1.0,1.0,1.0
236,1.0,1.0,14.0,1.0,1.0
237,4.0,36.0,148.0,114.0,83.0
238,40.0,6.0,3.0,1.0,18.0
239,4.0,3.0,43.0,5.0,16.0
240,12.0,8.0,118.0,1.0,8.0
241,16.0,14.0,2.0,1.0,20.0
242,3.0,3.0,1.0,3.0,1.0
243,1.0,3.0,1.0,68.0,54.0
244,3.0,8.0,1.0,2.0,8.0
245,4.0,13.0,14.0,2.0,298.0
246,1.0,1.0,1.0,2.0,214.0
247,22.0,1.0,13.0,1.0,7.0
248,25.0,9.0,77.0,1.0,157.0
249,1.0,5.0,1.0,2.0,11.0
250,9.0,10.0,20.0,2.0,2.0
251,7.0,1.0,43.0,1.0,1.0
252,27.0,1.0,4.0,1.0,25.0
253,6.0,2.0,15.0,1.0,1.0
254,1.0,21.0,30.0,7.0,5.0
255,12.0,6.0,116.0,3.0,2.0
256,6.0,1.0,8.0,2.0,2.0
257,1.0,1.0,104.0,28.0,11.0
258,42.0,1.0,4.0,17.0,2.0
259,37.0,31.0,3.0,9.0,1.0
260,15.0,1.0,1.0,1.0,3.0
261,14.0,1.0,2.0,16.0,1.0
262,5.0,3.0,1.0,1.0,1.0
263,19.0,8.0,18.0,1.0,8.0
264,2.0,6.0,1.0,5.0,44.0
265,19.0,20.0,4.0,1.0,24.0
266,2.0,3.0,47.0,3.0,11.0
267,30.0,1.0,1.0,10.0,1.0
268,19.0,3.0,39.0,1.0,17.0
269,2.0,1.0,38.0,2.0,10.0
270,1.0,24.0,2.0,1.0,8.0
271,10.0,20.0,42.0,1.0,20.0
272,1.0,31.0,1.0,41.0,11.0
273,1.0,2.0,55.0,1.0,1.0
274,5.0,1.0,1.0,4.0,1.0
275,1.0,1.0,1.0,1.0,1.0
276,12.0,31.0,23.0,3.0,51.0
277,1.0,1.0,1.0,5.0,205.0
278,1.0,91.0,1.0,1.0,2.0
279,1.0,1.0,22.0,55.0,5.0
280,1.0,32.0,12.0,1.0,35.0
281,8.0,1.0,1.0,1.0,6.0
282,1.0,23.0,20.0,36.0,1.0
283,1.0,37.0,2.0,153.0,1.0
284,1.0,6.0,1.0,4.0,1.0
285,6.0,6.0,48.0,2.0,1.0
286,1.0,10.0,1.0,5.0,1.0
287,11.0,3.0,5.0,7.0,8.0
288,1.0,2.0,3.0,1.0,1.0
289,3.0,23.0,9.0,3.0,39.0
290,12.0,5.0,1.0,2.0,4.0
291,6.0,2.0,2.0,1.0,1.0
292,2.0,39.0,1.0,13.0,1.0
293,2.0,31.0,1.0,2.0,1.0
294,6.0,33.0,1.0,16.0,1.0
295,26.0,48.0,1.0,1.0,1.0
296,9.0,1.0,3.0,4.0,18.0
297,1.0,1.0,1.0,45.0,26.0
298,1.0,7.0,1.0,1.0,55.0
299,21.0,1.0,27.0,1.0,1.0
300,2.0,3.0,67.0,84.0,51.0
301,1.0,1.0,1.0,84.0,4.0
302,2.0,2.0,1.0,40.0,10.0
303,10.0,31.0,7.0,1.0,24.0
304,1.0,4.0,3.0,2.0,1.0
305,1.0,32.0,1.0,2.0,5.0
306,5.0,71.0,28.0,8.0,1.0
307,5.0,47.0,1.0,6.0,1.0
308,1.0,3.0,1.0,4.0,2.0
309,33.0,6.0,3.0,1.0,3.0
310,7.0,21.0,1.0,1.0,4.0
311,1.0,4.0,141.0,1.0,3.0
312,5.0,1.0,2.0,1.0,1.0
313,1.0,2.0,82.0,1.0,105.0
314,6.0,6.0,1.0,1.0,5.0
315,42.0,4.0,2.0,1.0,2.0
316,11.0,19.0,1.0,58.0,27.0
317,1.0,11.0,191.0,144.0,3.0
318,2.0,8.0,2.0,3.0,4.0
319,1.0,1.0,4.0,1.0,15.0
320,1.0,33.0,4.0,86.0,1.0
321,3.0,35.0,3.0,7.0,1.0
322,1.0,6.0,180.0,15.0,3.0
323,1.0,6.0,26.0,10.0,1.0
324,108.0,109.0,2.0,13.0,2.0
325,1.0,5.0,1.0,8.0,1.0
326,1.0,17.0,3.0,3.0,1.0
327,4.0,1.0,29.0,10.0,39.0
328,3.0,6.0,33.0,5.0,17.0
329,1.0,1.0,1.0,14.0,1.0
330,42.0,14.0,6.0,8.0,40.0
331,8.0,2.0,2.0,1.0,3.0
332,3.0,2.0,3.0,4.0,1.0
333,2.0,48.0,28.0,3.0,10.0
334,26.0,2.0,3.0,26.0,2.0
335,1.0,2.0,8.0,2.0,7.0
336,11.0,1.0,1.0,1.0,2.0
337,1.0,1.0,1.0,4.0,4.0
338,6.0,1.0,1.0,1.0,1.0
339,2.0,1.0,4.0,3.0,1.0
340,22.0,3.0,15.0,33.0,1.0
341,15.0,1.0,2.0,12.0,2.0
342,1.0,1.0,2.0,4.0,1.0
343,4.0,1.0,2.0,6.0,13.0
344,2.0,1.0,1.0,1.0,9.0
345,1.0,1.0,13.0,6.0,2.0
346,1.0,1.0,303.0,5.0,62.0
347,1.0,4.0,2.0,149.0,1.0
348,1.0,3.0,1.0,1.0,1.0
349,7.0,2.0,193.0,2.0,1.0
350,1.0,1.0,1.0,2.0,18.0
351,5.0,1.0,30.0,1.0,4.0
352,1.0,3.0,1.0,1.0,1.0
353,1.0,1.0,76.0,1.0,2.0
354,10.0,1.0,1.0,1.0,18.0
355,1.0,1.0,8.0,61.0,2.0
356,10.0,1.0,1.0,2.0,2.0
357,2.0,1.0,10.0,37.0,1.0
358,4.0,1.0,1.0,11.0,4.0
359,1.0,13.0,16.0,1.0,2.0
360,7.0,18.0,1.0,3.0,47.0
361,1.0,1.0,4.0,1.0,5.0
362,12.0,1.0,8.0,1.0,9.0
363,16.0,1.0,130.0,17.0,1.0
364,1.0,6.0,5.0,1.0,1.0
365,3.0,1.0,18.0,2.0,28.0
366,1.0,6.0,14.0,31.0,4.0
367,171.0,2.0,38.0,3.0,10.0
368,9.0,1.0,4.0,7.0,60.0
369,11.0,2.0,3.0,8.0,1.0
370,1.0,1.0,9.0,9.0,4.0
371,2.0,1.0,106.0,3.0,15.0
372,1.0,8.0,1.0,4.0,1.0
373,5.0,36.0,40.0,6.0,2.0
374,1.0,1.0,30.0,1.0,1.0
375,3.0,3.0,1.0,7.0,1.0
376,41.0,1.0,26.0,3.0,8.0
377,10.0,1.0,58.0,11.0,2.0
378,7.0,2.0,48.0,1.0,8.0
379,3.0,16.0,102.0,16.0,39.0
380,3.0,1.0,13.0,6.0,61.0
381,467.0,1.0,1.0,24.0,19.0
382,15.0,1.0,1.0,1.0,73.0
383,24.0,4.0,1.0,1.0,3.0
384,5.0,36.0,59.0,5.0,1.0
385,4.0,4.0,36.0,1.0,18.0
386,1.0,1.0,38.0,1.0,2.0
387,1.0,11.0,43.0,3.0,1.0
388,580.0,1.0,37.0,20.0,65.0
389,2.0,14.0,7.0,1.0,9.0
390,1.0,2.0,37.0,2.0,1.0
391,34.0,1.0,102.0,2.0,1.0
392,14.0,2.0,16.0,1.0,9.0
393,1.0,13.0,10.0,17.0,3.0
394,1.0,7.0,21.0,1.0,1.0
395,1.0,1.0,1.0,1.0,1.0
396,4.0,69.0,57.0,1.0,2.0
397,13.0,1.0,1.0,2.0,14.0
398,1.0,1.0,138.0,13.0,12.0
399,17.0,1.0,64.0,4.0,6.0
400,1.0,1.0,7.0,1.0,2.0
401,15.0,6.0,33.0,1.0,23.0
402,19.0,1.0,2.0,6.0,1.0
403,1.0,11.0,29.0,1.0,2.0
404,18.0,24.0,53.0,12.0,20.0
405,2.0,2.0,48.0,1.0,1.0
406,27.0,1.0,52.0,14.0,11.0
407,1.0,1.0,35.0,14.0,1.0
408,3.0,1.0,7.0,23.0,3.0
409,1.0,10.0,13.0,20.0,5.0
410,1.0,1.0,1.0,2.0,23.0
411,1.0,17.0,1.0,2.0,3.0
412,1.0,1.0,1.0,7.0,3.0
413,1.0,12.0,6.0,2.0,1.0
414,4.0,15.0,165.0,1.0,2.0
415,7.0,63.0,59.0,14.0,10.0
416,1.0,6.0,1.0,26.0,18.0
417,1.0,4.0,183.0,228.0,1.0
418,1.0,11.0,3.0,3.0,9.0
419,1.0,3.0,2.0,1.0,29.0
420,16.0,1.0,8.0,26.0,16.0
421,3.0,1.0,2.0,23.0,1.0
422,11.0,18.0,55.0,3.0,1.0
423,1.0,2.0,1.0,29.0,8.0
424,4.0,1.0,3.0,5.0,3.0
425,634.0,10.0,1.0,1.0,1.0
426,1.0,4.0,59.0,2.0,1.0
427,1.0,1.0,8.0,1.0,1.0
428,1.0,6.0,122.0,9.0,1.0
429,1.0,5.0,3.0,7.0,1.0
430,1.0,7.0,23.0,5.0,1.0
431,13.0,3.0,1.0,3.0,1.0
432,1.0,4.0,3.0,1.0,10.0
433,1.0,14.0,60.0,1.0,1.0
434,1.0,11.0,3.0,16.0,54.0
435,1.0,4.0,1.0,1.0,18.0
436,1.0,1.0,56.0,22.0,29.0
437,1.0,51.0,1.0,2.0,1.0
438,355.0,7.0,14.0,1.0,17.0
439,1.0,5.0,58.0,1.0,3.0
440,1.0,82.0,8.0,2.0,1.0
