,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
144,59.0,11.0,2.0,1.0,3.0
145,5.0,152.0,41.0,2.0,5.0
146,1.0,2.0,1.0,1.0,20.0
147,1.0,231.0,10.0,1.0,3.0
148,1.0,3.0,39.0,13.0,27.0
149,22.0,290.0,40.0,6.0,1.0
150,3.0,43.0,16.0,8.0,3.0
151,17.0,3.0,1.0,76.0,5.0
152,1.0,177.0,2.0,1.0,20.0
153,53.0,3.0,15.0,3.0,4.0
154,6.0,55.0,1.0,1.0,19.0
155,31.0,18.0,80.0,12.0,3.0
156,6.0,12.0,2.0,1.0,1.0
157,11.0,72.0,1.0,1.0,1.0
158,1.0,1.0,7.0,96.0,13.0
159,3.0,61.0,3.0,95.0,3.0
160,1.0,3.0,1.0,1.0,71.0
161,14.0,25.0,1.0,2.0,7.0
162,64.0,7.0,7.0,1.0,1.0
163,1.0,1.0,131.0,23.0,140.0
164,7.0,47.0,8.0,19.0,7.0
165,1.0,1.0,1.0,3.0,3.0
166,13.0,3.0,4.0,3.0,161.0
167,3.0,31.0,26.0,29.0,170.0
168,1.0,2.0,1.0,30.0,1.0
169,55.0,5.0,11.0,12.0,9.0
170,2.0,26.0,58.0,1.0,1.0
171,4.0,91.0,186.0,1.0,1.0
172,2.0,3.0,1.0,33.0,5.0
173,53.0,2.0,35.0,19.0,170.0
174,1.0,1.0,3.0,4.0,1.0
175,25.0,1.0,1.0,1.0,1.0
176,3.0,1.0,1.0,5.0,4.0
177,2.0,9.0,1.0,1.0,50.0
178,1.0,1.0,4.0,10.0,7.0
179,12.0,1.0,43.0,3.0,6.0
180,3.0,2.0,13.0,1.0,40.0
181,7.0,2.0,4.0,59.0,150.0
182,27.0,3.0,12.0,82.0,38.0
183,2.0,1.0,3.0,13.0,2.0
184,1.0,3.0,2.0,1.0,3.0
185,2.0,2.0,4.0,1.0,5.0
186,4.0,228.0,6.0,24.0,21.0
187,3.0,16.0,8.0,4.0,59.0
188,4.0,6.0,1.0,1.0,1.0
189,1.0,18.0,7.0,14.0,2.0
190,47.0,13.0,3.0,2.0,7.0
191,1.0,2.0,7.0,1.0,173.0
192,1.0,4.0,3.0,5.0,8.0
193,4.0,1.0,4.0,1.0,3.0
194,69.0,1.0,1.0,5.0,6.0
195,5.0,1.0,1.0,3.0,7.0
196,1.0,3.0,1.0,1.0,1.0
197,66.0,9.0,5.0,121.0,6.0
198,54.0,21.0,5.0,1.0,7.0
199,3.0,2.0,3.0,4.0,51.0
200,1.0,1.0,16.0,1.0,1.0
201,1.0,1.0,1.0,3.0,1.0
202,5.0,2.0,128.0,14.0,2.0
203,1.0,5.0,3.0,2.0,1.0
204,1.0,16.0,1.0,1.0,33.0
