CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,74.0,2.0,9.0,303
1.0,3.0,10.0,1.0,5
2.0,1.0,2.0,1.0,19
1.0,1.0,3.0,1.0,94
1.0,16.0,5.0,2.0,177
1.0,1.0,43.0,3.0,61
43.0,3.0,2.0,1.0,6
5.0,6.0,1.0,2.0,1
74.0,21.0,2.0,10.0,19
1.0,4.0,14.0,1.0,66
2.0,1.0,1.0,92.0,5
1.0,7.0,5.0,1.0,32
18.0,2.0,1.0,1.0,1
53.0,1.0,2.0,1.0,2
13.0,235.0,48.0,1.0,1
1.0,64.0,22.0,1.0,1
6.0,1.0,1.0,1.0,2
1.0,15.0,1.0,3.0,2
2.0,1.0,1.0,1.0,1
54.0,1.0,1.0,1.0,11
1.0,1.0,31.0,1.0,9
8.0,3.0,1.0,1.0,2
4.0,1.0,105.0,1.0,23
27.0,3.0,4.0,22.0,99
8.0,1.0,52.0,3.0,2
15.0,39.0,1.0,2.0,7
1.0,20.0,4.0,1.0,1
8.0,1.0,8.0,1.0,7
1.0,20.0,1.0,2.0,1
5.0,45.0,2.0,3.0,2
1.0,1.0,41.0,6.0,4
1.0,3.0,89.0,1.0,21
48.0,12.0,8.0,2.0,3
6.0,1.0,5.0,1.0,2
2.0,1.0,18.0,2.0,21
3.0,7.0,8.0,1.0,3
1.0,40.0,12.0,4.0,1
113.0,1.0,65.0,3.0,13
1.0,7.0,52.0,1.0,1
1.0,2.0,7.0,10.0,1
4.0,18.0,6.0,4.0,1
25.0,1.0,52.0,12.0,12
2.0,2.0,1.0,2.0,2
1.0,31.0,13.0,1.0,9
1.0,1.0,35.0,4.0,16
10.0,45.0,2.0,1.0,12
5.0,35.0,3.0,1.0,1
5.0,3.0,3.0,1.0,1
1.0,6.0,15.0,1.0,34
483.0,1.0,3.0,30.0,1
1.0,1.0,2.0,11.0,3
5.0,1.0,49.0,1.0,26
1.0,5.0,1.0,2.0,1
1.0,2.0,12.0,1.0,73
1.0,1.0,4.0,34.0,3
4.0,1.0,5.0,13.0,38
28.0,1.0,1.0,2.0,6
1.0,1.0,9.0,162.0,13
14.0,11.0,50.0,54.0,1
18.0,3.0,2.0,2.0,3
98.0,13.0,13.0,2.0,1
1.0,69.0,1.0,1.0,2
1.0,9.0,1.0,3.0,157
5.0,1.0,1.0,1.0,1
3.0,8.0,50.0,2.0,54
4.0,2.0,1.0,2.0,4
1.0,6.0,10.0,12.0,33
1.0,81.0,82.0,1.0,5
1.0,34.0,1.0,3.0,19
1.0,1.0,48.0,3.0,1
1.0,80.0,1.0,2.0,1
1.0,1.0,11.0,7.0,1
1.0,4.0,1.0,2.0,1
8.0,1.0,90.0,6.0,189
3.0,4.0,130.0,1.0,12
21.0,11.0,5.0,1.0,1
1.0,3.0,10.0,1.0,38
1.0,6.0,17.0,10.0,15
74.0,3.0,20.0,3.0,129
2.0,1.0,94.0,14.0,105
29.0,2.0,62.0,3.0,1
12.0,9.0,4.0,4.0,1
83.0,8.0,9.0,5.0,2
39.0,5.0,65.0,4.0,23
2.0,44.0,1.0,1.0,187
