CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,12.0,1.0,2.0,2
1.0,1.0,9.0,1.0,5
3.0,1.0,13.0,1.0,1
25.0,2.0,70.0,1.0,1
1.0,9.0,41.0,2.0,2
1.0,4.0,1.0,1.0,2
16.0,52.0,1.0,8.0,255
26.0,47.0,1.0,4.0,202
99.0,77.0,14.0,1.0,22
1.0,10.0,6.0,6.0,2
8.0,1.0,9.0,4.0,4
1.0,1.0,1.0,1.0,1
1.0,14.0,20.0,9.0,19
2.0,1.0,33.0,1.0,167
1.0,3.0,2.0,1.0,1
1.0,7.0,3.0,1.0,301
1.0,21.0,16.0,2.0,5
1.0,4.0,2.0,3.0,19
1.0,1.0,3.0,1.0,97
51.0,7.0,5.0,2.0,176
5.0,2.0,44.0,11.0,65
77.0,1.0,4.0,1.0,6
2.0,1.0,1.0,95.0,2
4.0,230.0,3.0,1.0,19
1.0,67.0,14.0,1.0,71
19.0,1.0,1.0,1.0,5
57.0,17.0,1.0,1.0,32
15.0,2.0,6.0,1.0,1
1.0,2.0,1.0,3.0,2
7.0,1.0,3.0,1.0,1
1.0,3.0,50.0,1.0,1
4.0,1.0,27.0,1.0,2
64.0,1.0,1.0,1.0,4
1.0,3.0,1.0,1.0,2
9.0,1.0,1.0,23.0,12
5.0,39.0,1.0,3.0,9
30.0,21.0,1.0,2.0,2
9.0,22.0,32.0,1.0,24
16.0,37.0,1.0,1.0,104
1.0,1.0,114.0,2.0,2
10.0,3.0,5.0,3.0,7
2.0,14.0,57.0,6.0,1
5.0,1.0,1.0,1.0,4
1.0,1.0,6.0,2.0,1
3.0,7.0,9.0,1.0,2
46.0,43.0,1.0,4.0,5
6.0,1.0,3.0,1.0,21
1.0,8.0,40.0,8.0,4
2.0,3.0,87.0,1.0,2
1.0,19.0,9.0,3.0,23
3.0,1.0,6.0,1.0,3
1.0,2.0,19.0,10.0,1
115.0,32.0,1.0,4.0,13
1.0,1.0,8.0,13.0,1
5.0,49.0,12.0,2.0,1
29.0,36.0,64.0,1.0,1
1.0,3.0,55.0,4.0,13
2.0,6.0,8.0,1.0,2
1.0,1.0,7.0,1.0,9
2.0,1.0,58.0,1.0,16
10.0,1.0,1.0,1.0,15
5.0,1.0,12.0,30.0,1
5.0,1.0,42.0,12.0,1
1.0,7.0,2.0,2.0,1
481.0,2.0,3.0,2.0,35
1.0,1.0,3.0,1.0,1
5.0,1.0,16.0,34.0,3
1.0,1.0,3.0,15.0,28
1.0,1.0,1.0,2.0,1
1.0,11.0,4.0,156.0,1
4.0,3.0,47.0,55.0,76
33.0,14.0,2.0,2.0,5
1.0,70.0,13.0,2.0,42
1.0,9.0,4.0,1.0,6
16.0,1.0,5.0,3.0,13
23.0,8.0,1.0,1.0,1
103.0,2.0,10.0,2.0,3
1.0,6.0,50.0,2.0,1
2.0,81.0,2.0,10.0,2
1.0,35.0,14.0,2.0,160
5.0,1.0,1.0,3.0,1
3.0,80.0,1.0,3.0,58
5.0,1.0,1.0,2.0,4
1.0,4.0,51.0,7.0,33
1.0,1.0,1.0,2.0,5
1.0,4.0,10.0,6.0,1
1.0,11.0,81.0,1.0,20
1.0,3.0,1.0,1.0,1
1.0,6.0,48.0,1.0,1
1.0,3.0,1.0,10.0,1
2.0,1.0,10.0,3.0,1
8.0,2.0,1.0,14.0,192
4.0,9.0,1.0,3.0,12
21.0,8.0,94.0,4.0,1
2.0,5.0,131.0,6.0,39
1.0,46.0,6.0,3.0,15
80.0,2.0,12.0,1.0,130
3.0,2.0,16.0,1.0,107
30.0,7.0,22.0,2.0,1
12.0,1.0,100.0,65.0,1
85.0,3.0,64.0,1.0,1
43.0,4.0,4.0,1.0,2
2.0,248.0,13.0,1.0,24
2.0,108.0,72.0,1.0,188
35.0,38.0,1.0,6.0,65
6.0,1.0,7.0,8.0,73
4.0,1.0,55.0,4.0,4
14.0,2.0,15.0,1.0,1
2.0,2.0,1.0,1.0,50
1.0,1.0,3.0,4.0,1
103.0,1.0,9.0,1.0,116
3.0,2.0,2.0,1.0,19
2.0,3.0,66.0,3.0,2
1.0,3.0,1.0,1.0,36
46.0,1.0,7.0,2.0,19
8.0,8.0,1.0,4.0,17
6.0,1.0,2.0,1.0,1
41.0,46.0,7.0,1.0,4
4.0,2.0,1.0,1.0,1
3.0,2.0,6.0,1.0,14
19.0,9.0,1.0,1.0,4
9.0,7.0,18.0,11.0,1
11.0,1.0,36.0,25.0,1
4.0,1.0,7.0,3.0,1
17.0,1.0,9.0,2.0,2
17.0,14.0,1.0,1.0,258
3.0,2.0,1.0,9.0,238
1.0,16.0,1.0,1.0,1
1.0,2.0,1.0,13.0,60
44.0,17.0,58.0,1.0,2
12.0,27.0,3.0,1.0,8
1.0,1.0,147.0,1.0,1
1.0,1.0,1.0,1.0,17
1.0,1.0,2.0,2.0,166
6.0,7.0,28.0,30.0,1
1.0,9.0,3.0,22.0,4
6.0,1.0,90.0,1.0,6
39.0,1.0,132.0,6.0,2
1.0,50.0,1.0,3.0,220
1.0,31.0,1.0,1.0,15
9.0,9.0,24.0,1.0,2
20.0,58.0,47.0,1.0,1
1.0,1.0,4.0,96.0,33
2.0,2.0,1.0,4.0,122
2.0,15.0,19.0,2.0,119
1.0,8.0,1.0,628.0,82
28.0,49.0,122.0,49.0,2
14.0,61.0,124.0,1.0,1
11.0,17.0,2.0,5.0,19
3.0,2.0,5.0,2.0,1
2.0,6.0,47.0,3.0,25
632.0,2.0,64.0,1.0,90
1.0,1.0,1.0,8.0,1
1.0,1.0,14.0,3.0,13
22.0,1.0,169.0,62.0,1
3.0,1.0,1.0,1.0,1
3.0,1.0,24.0,1.0,4
2.0,1.0,2.0,1.0,1
1.0,7.0,1.0,1.0,8
8.0,3.0,1.0,6.0,2
1.0,1.0,1.0,12.0,40
1.0,1.0,11.0,1.0,42
13.0,3.0,1.0,1.0,9
1.0,1.0,4.0,37.0,3
1.0,4.0,59.0,1.0,48
1.0,1.0,4.0,32.0,79
6.0,1.0,1.0,11.0,1
2.0,1.0,2.0,1.0,36
14.0,1.0,2.0,2.0,4
51.0,21.0,1.0,1.0,1
144.0,18.0,5.0,148.0,1
3.0,3.0,2.0,3.0,1
3.0,27.0,1.0,3.0,32
2.0,36.0,14.0,1.0,3
3.0,2.0,16.0,3.0,23
2.0,2.0,23.0,3.0,184
1.0,6.0,3.0,1.0,18
1.0,1.0,11.0,1.0,7
1.0,1.0,1.0,2.0,1
1.0,67.0,1.0,2.0,14
1.0,2.0,1.0,1.0,3
3.0,48.0,1.0,3.0,8
16.0,83.0,1.0,2.0,21
3.0,2.0,2.0,5.0,5
25.0,8.0,2.0,3.0,37
9.0,2.0,1.0,2.0,1
1.0,4.0,1.0,45.0,17
70.0,7.0,3.0,2.0,1
7.0,5.0,55.0,4.0,1
2.0,2.0,4.0,1.0,2
1.0,2.0,147.0,1.0,16
32.0,2.0,1.0,1.0,1
4.0,1.0,1.0,20.0,31
46.0,3.0,4.0,103.0,1
67.0,9.0,22.0,2.0,109
1.0,1.0,1.0,7.0,2
2.0,1.0,2.0,2.0,6
13.0,21.0,3.0,6.0,72
38.0,1.0,104.0,4.0,2
14.0,1.0,172.0,1.0,55
14.0,1.0,1.0,2.0,3
1.0,10.0,1.0,4.0,1
107.0,5.0,3.0,3.0,39
2.0,161.0,37.0,15.0,1
6.0,44.0,18.0,17.0,5
17.0,1.0,5.0,3.0,2
8.0,12.0,4.0,140.0,14
26.0,1.0,28.0,29.0,85
2.0,2.0,1.0,1.0,4
39.0,1.0,116.0,5.0,5
14.0,5.0,154.0,10.0,40
1.0,7.0,1.0,3.0,4
5.0,1.0,11.0,2.0,7
2.0,4.0,1.0,1.0,5
1.0,4.0,24.0,1.0,11
2.0,3.0,118.0,4.0,4
17.0,18.0,1.0,2.0,6
7.0,7.0,9.0,1.0,2
1.0,1.0,204.0,42.0,289
6.0,1.0,1.0,3.0,25
45.0,3.0,2.0,1.0,1
10.0,4.0,33.0,629.0,36
4.0,4.0,1.0,48.0,4
2.0,1.0,1.0,19.0,80
1.0,7.0,4.0,3.0,104
1.0,1.0,1.0,2.0,1
2.0,10.0,8.0,28.0,1
16.0,14.0,1.0,2.0,1
1.0,2.0,1.0,56.0,1
2.0,1.0,70.0,2.0,8
1.0,6.0,3.0,1.0,7
2.0,2.0,3.0,1.0,10
2.0,58.0,1.0,2.0,23
2.0,9.0,2.0,9.0,69
1.0,5.0,33.0,1.0,109
13.0,2.0,15.0,1.0,1
10.0,27.0,18.0,1.0,1
10.0,5.0,1.0,2.0,54
1.0,1.0,31.0,25.0,1
1.0,14.0,18.0,2.0,118
461.0,37.0,7.0,58.0,1
5.0,2.0,7.0,2.0,1
38.0,28.0,1.0,1.0,9
4.0,2.0,1.0,1.0,1
1.0,4.0,2.0,1.0,1
1.0,5.0,1.0,1.0,38
1.0,1.0,1.0,1.0,2
2.0,1.0,1.0,63.0,4
1.0,1.0,1.0,5.0,11
1.0,2.0,1.0,1.0,1
8.0,1.0,3.0,3.0,34
2.0,1.0,49.0,4.0,3
4.0,1.0,6.0,1.0,1
1.0,3.0,152.0,1.0,2
1.0,1.0,3.0,1.0,185
1.0,1.0,2.0,3.0,218
1.0,1.0,39.0,1.0,1
1.0,1.0,2.0,3.0,82
1.0,2.0,1.0,10.0,1
1.0,1.0,2.0,43.0,3
1.0,35.0,1.0,1.0,3
1.0,12.0,103.0,4.0,1
30.0,3.0,188.0,1.0,1
107.0,22.0,1.0,8.0,4
2.0,13.0,6.0,1.0,106
1.0,1.0,32.0,3.0,5
5.0,1.0,10.0,1.0,9
1.0,15.0,16.0,22.0,1
2.0,5.0,8.0,68.0,213
2.0,1.0,39.0,7.0,2
11.0,1.0,1.0,1.0,14
3.0,2.0,4.0,2.0,1
3.0,1.0,151.0,11.0,1
5.0,1.0,163.0,3.0,51
1.0,39.0,33.0,5.0,119
3.0,54.0,1.0,1.0,105
24.0,67.0,17.0,2.0,77
33.0,1.0,125.0,1.0,2
1.0,1.0,2.0,1.0,1
47.0,4.0,2.0,1.0,1
1.0,21.0,195.0,1.0,27
5.0,2.0,1.0,8.0,20
1.0,4.0,25.0,12.0,49
1.0,1.0,1.0,2.0,2
1.0,2.0,3.0,262.0,5
18.0,3.0,2.0,6.0,17
1.0,2.0,1.0,24.0,1
29.0,5.0,6.0,1.0,1
39.0,10.0,57.0,7.0,1
6.0,1.0,1.0,1.0,9
1.0,1.0,1.0,1.0,1
1.0,23.0,9.0,4.0,1
1.0,1.0,11.0,1.0,3
1.0,1.0,2.0,7.0,43
21.0,3.0,32.0,1.0,4
16.0,7.0,129.0,1.0,38
1.0,2.0,14.0,1.0,2
4.0,3.0,5.0,1.0,29
21.0,212.0,1.0,1.0,1
2.0,132.0,16.0,21.0,4
5.0,6.0,22.0,475.0,104
95.0,4.0,14.0,71.0,60
7.0,1.0,11.0,5.0,2
2.0,1.0,1.0,2.0,26
2.0,2.0,1.0,19.0,3
9.0,3.0,7.0,19.0,1
43.0,15.0,1.0,1.0,4
3.0,8.0,1.0,6.0,10
27.0,1.0,1.0,39.0,68
3.0,9.0,1.0,65.0,5
7.0,2.0,1.0,1.0,14
2.0,3.0,1.0,1.0,443
1.0,3.0,1.0,1.0,16
14.0,1.0,1.0,2.0,4
6.0,2.0,1.0,1.0,1
9.0,1.0,54.0,50.0,1
12.0,1.0,2.0,21.0,4
8.0,4.0,90.0,29.0,29
2.0,3.0,1.0,2.0,1
2.0,15.0,2.0,4.0,8
6.0,11.0,51.0,1.0,2
1.0,1.0,16.0,32.0,1
1.0,2.0,2.0,3.0,16
1.0,6.0,1.0,2.0,9
