CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,2.0,1.0,1.0,22
3.0,14.0,28.0,2.0,1
1.0,2.0,1.0,1.0,37
2.0,1.0,23.0,1.0,2
37.0,4.0,19.0,2.0,17
1.0,7.0,2.0,1.0,8
22.0,5.0,6.0,7.0,2
17.0,5.0,6.0,6.0,4
4.0,6.0,26.0,1.0,1
1.0,1.0,4.0,1.0,29
4.0,11.0,14.0,1.0,171
1.0,10.0,6.0,1.0,2
1.0,1.0,47.0,3.0,179
1.0,102.0,34.0,6.0,1
14.0,43.0,29.0,1.0,276
1.0,2.0,12.0,1.0,1
21.0,2.0,15.0,5.0,1
1.0,2.0,29.0,4.0,22
27.0,17.0,1.0,4.0,14
1.0,83.0,52.0,2.0,1
7.0,6.0,2.0,6.0,20
1.0,1.0,20.0,1.0,1
5.0,1.0,2.0,1.0,17
2.0,5.0,30.0,11.0,1
1.0,1.0,1.0,1.0,44
1.0,31.0,11.0,1.0,5
35.0,8.0,6.0,1.0,1
11.0,1.0,8.0,1.0,2
1.0,2.0,23.0,3.0,1
7.0,1.0,1.0,3.0,1
6.0,1.0,111.0,2.0,7
2.0,6.0,12.0,6.0,2
3.0,11.0,1.0,2.0,1
20.0,1.0,1.0,1.0,1
1.0,1.0,3.0,1.0,8
1.0,10.0,12.0,1.0,1
8.0,1.0,3.0,16.0,1
15.0,3.0,2.0,3.0,11
25.0,4.0,1.0,13.0,109
9.0,2.0,49.0,2.0,1
10.0,2.0,40.0,2.0,2
1.0,3.0,17.0,3.0,16
4.0,36.0,3.0,1.0,1
1.0,3.0,9.0,3.0,2
4.0,3.0,1.0,23.0,1
1.0,91.0,5.0,1.0,1
9.0,48.0,33.0,2.0,2
5.0,1.0,5.0,2.0,87
1.0,3.0,2.0,2.0,106
4.0,1.0,23.0,1.0,1
21.0,3.0,1.0,2.0,1
8.0,22.0,5.0,1.0,141
1.0,8.0,49.0,2.0,275
68.0,42.0,52.0,8.0,2
1.0,1.0,41.0,60.0,7
10.0,7.0,9.0,2.0,50
5.0,4.0,2.0,1.0,26
37.0,5.0,34.0,1.0,7
4.0,1.0,58.0,46.0,9
