CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
5.0,4.0,72.0,8.0,57
1.0,4.0,125.0,11.0,9
1.0,12.0,23.0,2.0,53
489.0,1.0,12.0,148.0,2
11.0,1.0,13.0,13.0,5
1.0,2.0,1.0,1.0,1
1.0,9.0,9.0,2.0,1
3.0,4.0,12.0,1.0,1
25.0,53.0,70.0,1.0,2
1.0,49.0,42.0,1.0,2
1.0,78.0,1.0,2.0,260
17.0,11.0,1.0,1.0,204
28.0,1.0,1.0,10.0,22
110.0,1.0,14.0,4.0,2
1.0,15.0,7.0,1.0,4
8.0,1.0,12.0,6.0,1
2.0,3.0,1.0,4.0,20
1.0,7.0,20.0,1.0,169
2.0,21.0,37.0,9.0,1
1.0,4.0,2.0,1.0,302
1.0,1.0,3.0,1.0,5
2.0,7.0,13.0,1.0,20
1.0,2.0,2.0,2.0,97
1.0,1.0,3.0,3.0,181
57.0,1.0,6.0,1.0,67
5.0,233.0,46.0,2.0,6
78.0,66.0,4.0,13.0,2
2.0,1.0,1.0,1.0,19
5.0,18.0,3.0,100.0,71
1.0,2.0,14.0,1.0,6
19.0,2.0,1.0,1.0,32
60.0,1.0,1.0,1.0,1
15.0,3.0,7.0,1.0,2
1.0,1.0,1.0,1.0,1
7.0,1.0,3.0,1.0,1
1.0,3.0,50.0,3.0,2
4.0,1.0,28.0,1.0,4
63.0,41.0,1.0,1.0,2
1.0,21.0,1.0,1.0,12
9.0,2.0,1.0,1.0,9
5.0,25.0,1.0,1.0,2
30.0,36.0,1.0,23.0,25
11.0,1.0,1.0,3.0,105
16.0,3.0,33.0,2.0,2
1.0,13.0,1.0,1.0,7
10.0,1.0,115.0,1.0,2
3.0,1.0,4.0,2.0,4
5.0,7.0,56.0,3.0,1
1.0,45.0,1.0,6.0,2
1.0,1.0,5.0,1.0,7
3.0,8.0,9.0,2.0,21
44.0,3.0,2.0,1.0,4
6.0,19.0,3.0,6.0,2
1.0,1.0,42.0,1.0,23
2.0,2.0,86.0,9.0,4
1.0,36.0,9.0,1.0,1
3.0,1.0,6.0,3.0,13
2.0,50.0,22.0,1.0,1
120.0,38.0,1.0,10.0,1
1.0,3.0,7.0,4.0,1
5.0,7.0,12.0,16.0,13
30.0,1.0,64.0,2.0,1
1.0,1.0,60.0,1.0,9
2.0,1.0,8.0,4.0,15
1.0,1.0,7.0,1.0,15
2.0,1.0,59.0,1.0,1
10.0,7.0,1.0,1.0,1
5.0,2.0,14.0,1.0,1
5.0,1.0,49.0,1.0,37
1.0,1.0,2.0,30.0,1
482.0,1.0,3.0,12.0,3
1.0,1.0,3.0,2.0,28
