CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,2.0,1.0,2.0,1
1.0,7.0,111.0,1.0,33
92.0,3.0,34.0,9.0,91
1.0,2.0,23.0,13.0,13
7.0,8.0,1.0,2.0,2
8.0,17.0,2.0,154.0,2
1.0,4.0,12.0,14.0,63
5.0,4.0,2.0,1.0,9
1.0,4.0,15.0,2.0,58
1.0,12.0,72.0,1.0,2
505.0,2.0,75.0,1.0,5
11.0,1.0,24.0,1.0,1
2.0,3.0,15.0,2.0,1
1.0,9.0,12.0,1.0,1
3.0,5.0,1.0,10.0,2
27.0,53.0,9.0,4.0,2
1.0,51.0,9.0,1.0,262
1.0,79.0,67.0,6.0,1
1.0,11.0,43.0,4.0,291
18.0,1.0,1.0,1.0,25
35.0,1.0,1.0,9.0,2
187.0,16.0,1.0,1.0,4
1.0,1.0,16.0,1.0,1
1.0,2.0,9.0,1.0,24
7.0,3.0,15.0,3.0,152
1.0,8.0,1.0,3.0,1
2.0,24.0,22.0,1.0,1
2.0,1.0,42.0,2.0,288
2.0,4.0,2.0,13.0,5
1.0,1.0,2.0,1.0,20
1.0,7.0,3.0,121.0,100
2.0,2.0,13.0,1.0,176
1.0,1.0,3.0,1.0,67
2.0,1.0,3.0,1.0,6
62.0,256.0,7.0,1.0,2
5.0,81.0,43.0,1.0,19
86.0,1.0,5.0,1.0,72
2.0,19.0,1.0,3.0,6
3.0,2.0,3.0,1.0,34
1.0,2.0,15.0,1.0,1
20.0,1.0,1.0,1.0,2
64.0,3.0,1.0,1.0,1
18.0,1.0,9.0,1.0,1
1.0,1.0,1.0,25.0,2
8.0,3.0,4.0,2.0,4
2.0,1.0,142.0,2.0,2
5.0,43.0,31.0,2.0,12
57.0,21.0,1.0,1.0,1
1.0,2.0,1.0,2.0,9
1.0,23.0,1.0,3.0,2
1.0,1.0,1.0,6.0,25
9.0,41.0,1.0,1.0,110
5.0,1.0,1.0,2.0,2
29.0,3.0,1.0,1.0,7
11.0,11.0,1.0,7.0,2
17.0,1.0,1.0,1.0,1
1.0,1.0,38.0,11.0,1
10.0,10.0,1.0,1.0,2
3.0,47.0,110.0,3.0,8
6.0,1.0,4.0,1.0,22
2.0,9.0,42.0,10.0,4
1.0,4.0,1.0,4.0,2
3.0,21.0,6.0,12.0,23
34.0,2.0,11.0,2.0,4
5.0,2.0,2.0,1.0,1
1.0,37.0,3.0,4.0,13
