CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
2.0,3.0,2.0,13.0,2
27.0,5.0,24.0,2.0,3
1.0,1.0,7.0,1.0,1
3.0,103.0,2.0,10.0,2
4.0,56.0,24.0,1.0,1
50.0,3.0,50.0,1.0,8
1.0,1.0,40.0,1.0,75
45.0,2.0,9.0,7.0,3
4.0,3.0,8.0,3.0,1
3.0,1.0,1.0,3.0,1
41.0,3.0,19.0,37.0,5
19.0,4.0,57.0,1.0,2
3.0,2.0,2.0,1.0,18
1.0,1.0,1.0,1.0,4
1.0,2.0,1.0,2.0,1
4.0,1.0,3.0,3.0,1
22.0,2.0,12.0,5.0,2
14.0,13.0,12.0,1.0,8
7.0,3.0,1.0,1.0,1
3.0,19.0,2.0,107.0,5
5.0,1.0,6.0,1.0,1
6.0,14.0,52.0,1.0,7
4.0,1.0,2.0,1.0,1
4.0,7.0,3.0,3.0,2
61.0,1.0,5.0,1.0,9
17.0,5.0,9.0,1.0,19
1.0,1.0,2.0,1.0,1
2.0,17.0,5.0,1.0,3
6.0,3.0,1.0,2.0,10
9.0,1.0,11.0,15.0,3
3.0,1.0,3.0,4.0,10
4.0,3.0,4.0,1.0,6
22.0,3.0,11.0,1.0,1
6.0,2.0,12.0,1.0,2
2.0,1.0,38.0,2.0,1
22.0,2.0,3.0,2.0,34
5.0,41.0,1.0,1.0,2
1.0,1.0,1.0,2.0,16
10.0,10.0,2.0,2.0,5
5.0,18.0,2.0,2.0,6
17.0,5.0,1.0,3.0,1
2.0,1.0,53.0,3.0,4
1.0,4.0,1.0,21.0,1
30.0,1.0,5.0,1.0,2
1.0,1.0,111.0,1.0,1
1.0,2.0,3.0,6.0,85
12.0,1.0,38.0,3.0,1
1.0,1.0,26.0,1.0,30
4.0,1.0,4.0,3.0,2
1.0,4.0,3.0,2.0,1
88.0,7.0,1.0,2.0,24
1.0,4.0,5.0,2.0,4
15.0,2.0,15.0,1.0,15
11.0,8.0,9.0,2.0,2
2.0,19.0,19.0,2.0,30
2.0,8.0,72.0,10.0,4
2.0,5.0,59.0,1.0,1
6.0,4.0,2.0,2.0,1
1.0,1.0,28.0,2.0,1
1.0,16.0,18.0,1.0,2
1.0,2.0,5.0,1.0,154
1.0,1.0,14.0,2.0,2
1.0,3.0,1.0,6.0,1
1.0,12.0,1.0,8.0,4
477.0,9.0,12.0,92.0,6
15.0,54.0,2.0,2.0,48
9.0,53.0,10.0,1.0,2
1.0,82.0,3.0,2.0,1
3.0,12.0,69.0,1.0,1
27.0,1.0,45.0,1.0,171
1.0,1.0,2.0,1.0,67
1.0,2.0,1.0,1.0,11
1.0,20.0,1.0,1.0,4
1.0,2.0,17.0,1.0,1
19.0,1.0,14.0,2.0,2
36.0,1.0,15.0,4.0,1
31.0,3.0,1.0,9.0,36
1.0,3.0,23.0,1.0,91
1.0,11.0,45.0,5.0,18
17.0,25.0,1.0,3.0,4
1.0,1.0,3.0,2.0,2
3.0,6.0,3.0,1.0,2
4.0,1.0,3.0,5.0,1
3.0,2.0,3.0,1.0,63
4.0,7.0,16.0,2.0,13
1.0,3.0,1.0,2.0,61
2.0,1.0,3.0,7.0,4
5.0,1.0,5.0,1.0,3
1.0,1.0,11.0,1.0,10
1.0,169.0,45.0,1.0,1
8.0,58.0,6.0,1.0,4
1.0,1.0,3.0,7.0,1
1.0,20.0,9.0,2.0,2
3.0,5.0,3.0,1.0,1
2.0,3.0,1.0,1.0,3
12.0,4.0,17.0,1.0,265
3.0,1.0,2.0,9.0,1
66.0,1.0,4.0,8.0,74
5.0,3.0,1.0,2.0,26
1.0,1.0,4.0,2.0,3
92.0,1.0,10.0,1.0,4
3.0,2.0,1.0,1.0,1
2.0,3.0,1.0,7.0,25
9.0,5.0,7.0,1.0,159
1.0,6.0,24.0,81.0,2
25.0,44.0,2.0,2.0,4
75.0,29.0,32.0,1.0,246
23.0,4.0,1.0,1.0,5
1.0,31.0,1.0,2.0,21
1.0,1.0,1.0,1.0,102
4.0,38.0,1.0,1.0,178
5.0,1.0,1.0,1.0,74
11.0,5.0,1.0,2.0,11
5.0,12.0,1.0,2.0,2
2.0,1.0,1.0,1.0,30
7.0,1.0,1.0,1.0,79
1.0,10.0,3.0,1.0,1
64.0,49.0,39.0,4.0,1
10.0,1.0,1.0,1.0,1
1.0,10.0,5.0,2.0,8
6.0,5.0,3.0,18.0,34
13.0,1.0,1.0,1.0,1
1.0,22.0,113.0,1.0,4
7.0,2.0,3.0,1.0,1
1.0,5.0,8.0,2.0,1
31.0,2.0,41.0,1.0,3
11.0,38.0,5.0,1.0,4
17.0,2.0,3.0,4.0,4
5.0,51.0,1.0,1.0,2
1.0,30.0,9.0,3.0,14
10.0,3.0,12.0,1.0,2
6.0,4.0,4.0,1.0,1
6.0,7.0,5.0,1.0,10
1.0,1.0,47.0,1.0,2
1.0,1.0,39.0,1.0,27
12.0,1.0,2.0,1.0,114
2.0,1.0,1.0,16.0,6
5.0,1.0,6.0,2.0,8
40.0,9.0,11.0,3.0,3
3.0,3.0,2.0,1.0,3
9.0,1.0,1.0,7.0,7
1.0,1.0,23.0,2.0,7
3.0,1.0,2.0,1.0,1
2.0,2.0,5.0,1.0,2
1.0,11.0,8.0,1.0,4
4.0,4.0,13.0,1.0,11
2.0,2.0,6.0,1.0,29
55.0,18.0,1.0,1.0,6
1.0,63.0,1.0,2.0,2
1.0,4.0,52.0,1.0,25
9.0,12.0,61.0,1.0,4
36.0,1.0,1.0,5.0,1
1.0,1.0,1.0,16.0,14
3.0,3.0,2.0,2.0,4
4.0,9.0,11.0,2.0,1
1.0,1.0,13.0,2.0,1
4.0,1.0,66.0,1.0,13
4.0,3.0,1.0,10.0,1
11.0,11.0,17.0,13.0,2
1.0,84.0,51.0,2.0,1
6.0,38.0,1.0,1.0,3
5.0,1.0,3.0,111.0,9
1.0,86.0,4.0,14.0,17
3.0,3.0,4.0,1.0,1
433.0,1.0,4.0,1.0,15
1.0,4.0,21.0,2.0,1
12.0,1.0,1.0,1.0,2
7.0,5.0,5.0,1.0,2
1.0,16.0,2.0,1.0,3
1.0,6.0,5.0,2.0,43
1.0,6.0,48.0,1.0,2
4.0,1.0,2.0,1.0,6
37.0,1.0,3.0,1.0,30
1.0,5.0,3.0,1.0,3
1.0,2.0,4.0,3.0,5
2.0,2.0,2.0,2.0,1
19.0,9.0,16.0,2.0,84
40.0,9.0,4.0,7.0,6
69.0,6.0,2.0,1.0,44
1.0,50.0,7.0,1.0,6
2.0,3.0,7.0,4.0,14
1.0,2.0,1.0,1.0,2
17.0,7.0,1.0,1.0,9
2.0,2.0,3.0,6.0,2
6.0,4.0,10.0,4.0,1
1.0,4.0,33.0,1.0,4
5.0,173.0,3.0,8.0,4
1.0,92.0,1.0,1.0,2
1.0,3.0,18.0,1.0,6
2.0,41.0,1.0,1.0,164
5.0,3.0,1.0,1.0,1
1.0,2.0,1.0,4.0,62
14.0,3.0,1.0,3.0,9
2.0,1.0,1.0,1.0,2
1.0,2.0,1.0,3.0,39
1.0,2.0,3.0,1.0,4
5.0,3.0,1.0,1.0,17
2.0,3.0,54.0,13.0,2
5.0,2.0,3.0,1.0,22
19.0,3.0,3.0,1.0,1
8.0,2.0,2.0,9.0,1
25.0,7.0,13.0,1.0,4
2.0,2.0,1.0,90.0,1
5.0,14.0,76.0,1.0,2
2.0,1.0,2.0,1.0,2
2.0,52.0,1.0,1.0,1
90.0,3.0,47.0,1.0,1
11.0,3.0,2.0,1.0,184
19.0,2.0,3.0,1.0,14
36.0,1.0,6.0,1.0,1
16.0,13.0,12.0,1.0,1
90.0,8.0,2.0,1.0,45
56.0,2.0,1.0,3.0,16
1.0,1.0,1.0,1.0,133
2.0,1.0,105.0,2.0,118
2.0,24.0,68.0,1.0,1
5.0,2.0,3.0,5.0,1
46.0,19.0,4.0,1.0,1
1.0,4.0,4.0,1.0,2
14.0,20.0,4.0,2.0,31
6.0,28.0,18.0,1.0,195
17.0,3.0,19.0,1.0,1
2.0,1.0,3.0,25.0,70
3.0,1.0,2.0,1.0,77
74.0,8.0,24.0,2.0,6
8.0,2.0,4.0,1.0,2
5.0,12.0,3.0,1.0,1
1.0,1.0,3.0,2.0,55
3.0,1.0,68.0,1.0,1
49.0,51.0,62.0,2.0,125
13.0,1.0,1.0,1.0,1
13.0,1.0,5.0,1.0,23
1.0,36.0,4.0,1.0,3
49.0,10.0,4.0,3.0,3
8.0,2.0,16.0,3.0,1
5.0,63.0,87.0,2.0,43
1.0,1.0,1.0,1.0,25
21.0,2.0,11.0,6.0,18
11.0,1.0,66.0,1.0,1
2.0,15.0,1.0,1.0,6
1.0,1.0,2.0,2.0,3
12.0,10.0,6.0,1.0,14
7.0,2.0,1.0,1.0,1
25.0,56.0,18.0,2.0,9
1.0,63.0,1.0,1.0,1
21.0,21.0,4.0,7.0,1
1.0,1.0,4.0,1.0,5
1.0,2.0,12.0,1.0,3
6.0,7.0,2.0,12.0,1
1.0,1.0,1.0,1.0,3
1.0,4.0,5.0,1.0,262
46.0,1.0,60.0,3.0,128
5.0,1.0,2.0,1.0,1
17.0,1.0,2.0,10.0,2
1.0,1.0,5.0,4.0,64
1.0,1.0,4.0,14.0,2
2.0,1.0,8.0,3.0,9
7.0,10.0,6.0,1.0,1
1.0,5.0,6.0,5.0,17
8.0,1.0,8.0,1.0,153
3.0,1.0,3.0,1.0,2
24.0,3.0,3.0,1.0,4
1.0,1.0,4.0,1.0,6
1.0,7.0,6.0,1.0,3
17.0,1.0,2.0,1.0,196
25.0,1.0,1.0,1.0,19
1.0,3.0,22.0,2.0,2
4.0,2.0,29.0,2.0,1
2.0,28.0,12.0,31.0,1
1.0,20.0,1.0,10.0,36
3.0,3.0,12.0,2.0,130
1.0,1.0,1.0,3.0,2
3.0,32.0,1.0,1.0,110
1.0,32.0,1.0,1.0,86
33.0,5.0,1.0,2.0,4
1.0,3.0,1.0,1.0,3
16.0,3.0,4.0,43.0,1
13.0,1.0,62.0,20.0,20
3.0,4.0,2.0,4.0,2
7.0,6.0,2.0,2.0,1
2.0,7.0,1.0,84.0,28
535.0,1.0,4.0,1.0,99
1.0,1.0,1.0,56.0,1
1.0,66.0,130.0,1.0,1
32.0,2.0,2.0,2.0,2
4.0,49.0,3.0,3.0,1
6.0,1.0,3.0,2.0,1
2.0,83.0,3.0,2.0,15
1.0,3.0,34.0,1.0,1
8.0,10.0,1.0,1.0,1
1.0,2.0,3.0,1.0,1
1.0,5.0,3.0,3.0,1
14.0,7.0,4.0,1.0,4
1.0,6.0,3.0,2.0,1
1.0,1.0,8.0,1.0,2
2.0,2.0,96.0,1.0,8
7.0,2.0,75.0,2.0,3
10.0,3.0,1.0,1.0,44
14.0,1.0,2.0,3.0,44
69.0,3.0,2.0,3.0,1
127.0,10.0,2.0,6.0,14
4.0,1.0,29.0,4.0,4
3.0,1.0,3.0,6.0,51
12.0,22.0,53.0,5.0,86
4.0,1.0,1.0,4.0,3
2.0,1.0,1.0,1.0,45
2.0,1.0,7.0,7.0,3
4.0,1.0,4.0,4.0,5
1.0,11.0,11.0,7.0,9
1.0,1.0,3.0,1.0,1
3.0,1.0,2.0,1.0,3
2.0,6.0,3.0,2.0,40
4.0,135.0,94.0,2.0,5
5.0,35.0,127.0,13.0,22
27.0,1.0,2.0,4.0,204
1.0,15.0,2.0,1.0,19
4.0,3.0,1.0,20.0,2
29.0,1.0,9.0,4.0,11
11.0,3.0,54.0,1.0,1
3.0,2.0,77.0,5.0,1
3.0,7.0,1.0,1.0,17
78.0,8.0,18.0,7.0,2
7.0,2.0,182.0,6.0,1
3.0,9.0,2.0,1.0,3
1.0,2.0,1.0,2.0,9
1.0,6.0,7.0,1.0,25
40.0,3.0,28.0,7.0,5
8.0,14.0,5.0,1.0,40
43.0,9.0,3.0,3.0,1
73.0,1.0,3.0,56.0,19
1.0,1.0,2.0,1.0,1
2.0,1.0,3.0,1.0,2
2.0,1.0,4.0,1.0,1
17.0,4.0,15.0,1.0,2
49.0,4.0,2.0,1.0,18
4.0,6.0,2.0,1.0,1
16.0,1.0,4.0,2.0,32
18.0,12.0,51.0,1.0,1
1.0,1.0,8.0,1.0,120
1.0,12.0,5.0,1.0,5
80.0,15.0,5.0,6.0,4
3.0,2.0,3.0,9.0,8
11.0,2.0,5.0,5.0,80
2.0,2.0,3.0,2.0,2
15.0,8.0,2.0,2.0,58
14.0,2.0,1.0,4.0,4
30.0,54.0,1.0,1.0,2
2.0,1.0,9.0,1.0,41
43.0,10.0,3.0,1.0,4
1.0,1.0,2.0,1.0,10
15.0,6.0,4.0,2.0,1
2.0,2.0,2.0,1.0,1
8.0,27.0,23.0,2.0,1
2.0,1.0,5.0,3.0,4
1.0,7.0,18.0,2.0,4
1.0,1.0,28.0,2.0,18
5.0,1.0,7.0,2.0,90
2.0,17.0,13.0,1.0,4
25.0,38.0,1.0,6.0,13
10.0,2.0,1.0,1.0,2
1.0,29.0,1.0,1.0,2
6.0,1.0,1.0,2.0,45
50.0,3.0,1.0,1.0,7
16.0,4.0,1.0,2.0,19
