CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
4.0,1.0,6.0,1.0,1
66.0,3.0,1.0,1.0,164
13.0,1.0,4.0,1.0,1
1.0,43.0,14.0,20.0,4
2.0,1.0,10.0,1.0,6
2.0,10.0,37.0,5.0,48
11.0,17.0,1.0,4.0,2
4.0,5.0,1.0,1.0,1
25.0,7.0,2.0,1.0,1
6.0,1.0,2.0,1.0,169
22.0,1.0,1.0,1.0,67
6.0,2.0,50.0,2.0,11
1.0,1.0,2.0,20.0,3
14.0,1.0,119.0,1.0,1
5.0,1.0,46.0,3.0,34
17.0,2.0,24.0,1.0,93
1.0,8.0,1.0,5.0,14
39.0,3.0,3.0,1.0,2
3.0,2.0,13.0,1.0,2
11.0,8.0,2.0,1.0,63
1.0,20.0,22.0,5.0,9
1.0,6.0,76.0,17.0,64
92.0,6.0,65.0,1.0,2
1.0,4.0,27.0,1.0,8
14.0,15.0,18.0,2.0,1
12.0,2.0,16.0,1.0,1
1.0,2.0,1.0,9.0,1
10.0,3.0,9.0,13.0,2
1.0,11.0,1.0,3.0,1
1.0,7.0,11.0,130.0,3
1.0,56.0,77.0,14.0,296
4.0,57.0,54.0,1.0,1
493.0,90.0,2.0,2.0,83
12.0,13.0,1.0,1.0,25
5.0,1.0,1.0,1.0,4
1.0,1.0,17.0,1.0,4
3.0,22.0,10.0,2.0,1
27.0,1.0,15.0,1.0,24
1.0,2.0,1.0,5.0,163
1.0,3.0,25.0,1.0,1
1.0,9.0,53.0,4.0,1
1.0,26.0,2.0,1.0,266
21.0,1.0,4.0,7.0,5
36.0,7.0,4.0,4.0,21
33.0,1.0,21.0,1.0,103
1.0,7.0,3.0,8.0,175
1.0,3.0,3.0,1.0,69
12.0,1.0,9.0,1.0,8
1.0,1.0,48.0,1.0,2
2.0,1.0,5.0,5.0,21
2.0,182.0,8.0,3.0,82
4.0,65.0,3.0,1.0,11
1.0,1.0,16.0,3.0,35
1.0,19.0,1.0,16.0,1
1.0,3.0,1.0,2.0,2
7.0,2.0,11.0,1.0,1
1.0,2.0,1.0,127.0,1
2.0,3.0,5.0,1.0,2
3.0,1.0,30.0,1.0,2
86.0,2.0,2.0,1.0,4
5.0,3.0,34.0,1.0,2
89.0,1.0,1.0,1.0,12
2.0,5.0,1.0,1.0,1
8.0,49.0,1.0,1.0,9
1.0,1.0,1.0,4.0,2
26.0,23.0,1.0,1.0,29
75.0,2.0,1.0,1.0,115
23.0,30.0,1.0,1.0,2
3.0,1.0,1.0,1.0,7
3.0,34.0,1.0,1.0,2
9.0,1.0,40.0,26.0,2
2.0,5.0,1.0,2.0,11
2.0,12.0,116.0,2.0,1
5.0,1.0,10.0,2.0,2
1.0,1.0,47.0,1.0,8
64.0,10.0,2.0,3.0,23
5.0,50.0,7.0,3.0,4
2.0,1.0,12.0,6.0,2
1.0,9.0,2.0,1.0,23
16.0,4.0,9.0,1.0,4
5.0,1.0,54.0,2.0,1
36.0,21.0,42.0,1.0,14
11.0,3.0,6.0,9.0,1
17.0,2.0,10.0,1.0,1
7.0,40.0,30.0,13.0,1
1.0,2.0,1.0,1.0,13
12.0,59.0,8.0,3.0,2
6.0,30.0,16.0,1.0,10
6.0,1.0,63.0,10.0,18
1.0,3.0,71.0,4.0,17
4.0,7.0,1.0,15.0,1
1.0,1.0,10.0,2.0,3
4.0,1.0,10.0,1.0,1
47.0,1.0,65.0,4.0,41
7.0,1.0,1.0,1.0,1
1.0,1.0,20.0,1.0,3
2.0,8.0,59.0,1.0,29
1.0,2.0,2.0,1.0,1
4.0,1.0,3.0,2.0,1
2.0,1.0,3.0,31.0,87
70.0,1.0,22.0,10.0,5
1.0,2.0,3.0,2.0,64
1.0,11.0,1.0,2.0,6
1.0,3.0,5.0,1.0,13
9.0,15.0,62.0,44.0,1
43.0,63.0,1.0,20.0,1
1.0,5.0,2.0,5.0,2
2.0,10.0,18.0,111.0,5
1.0,1.0,6.0,56.0,174
6.0,1.0,9.0,2.0,1
11.0,10.0,1.0,2.0,65
6.0,3.0,13.0,1.0,10
5.0,7.0,33.0,3.0,36
4.0,88.0,3.0,1.0,1
2.0,43.0,18.0,2.0,14
467.0,1.0,1.0,3.0,2
1.0,91.0,1.0,2.0,24
6.0,2.0,1.0,4.0,1
1.0,4.0,1.0,3.0,1
1.0,1.0,1.0,4.0,2
1.0,5.0,1.0,2.0,1
1.0,21.0,1.0,7.0,1
4.0,3.0,55.0,2.0,3
37.0,6.0,4.0,8.0,200
1.0,5.0,10.0,1.0,14
1.0,2.0,106.0,1.0,1
23.0,2.0,8.0,1.0,45
41.0,10.0,44.0,14.0,16
74.0,9.0,1.0,4.0,133
1.0,7.0,2.0,21.0,118
2.0,55.0,13.0,4.0,1
1.0,3.0,1.0,4.0,1
9.0,2.0,4.0,8.0,1
6.0,7.0,107.0,8.0,2
6.0,2.0,73.0,1.0,31
2.0,3.0,5.0,1.0,201
1.0,4.0,18.0,2.0,72
1.0,198.0,21.0,104.0,79
18.0,103.0,29.0,1.0,5
2.0,38.0,75.0,2.0,3
1.0,3.0,90.0,1.0,56
1.0,1.0,1.0,1.0,1
5.0,2.0,4.0,1.0,132
11.0,2.0,15.0,6.0,21
8.0,1.0,89.0,9.0,2
36.0,3.0,1.0,5.0,43
2.0,2.0,16.0,1.0,21
2.0,3.0,81.0,2.0,19
1.0,5.0,1.0,4.0,1
1.0,1.0,18.0,1.0,6
87.0,12.0,1.0,1.0,1
6.0,1.0,3.0,1.0,14
5.0,50.0,11.0,3.0,1
37.0,2.0,2.0,1.0,5
33.0,1.0,65.0,2.0,1
101.0,2.0,1.0,1.0,1
51.0,1.0,7.0,4.0,1
1.0,12.0,1.0,1.0,3
2.0,7.0,2.0,1.0,286
4.0,2.0,8.0,1.0,129
45.0,2.0,1.0,1.0,1
1.0,1.0,3.0,1.0,71
6.0,19.0,6.0,1.0,3
4.0,2.0,1.0,30.0,9
18.0,15.0,24.0,39.0,1
2.0,4.0,26.0,3.0,18
3.0,18.0,12.0,3.0,158
81.0,27.0,10.0,1.0,2
7.0,1.0,1.0,11.0,4
4.0,1.0,1.0,1.0,6
1.0,1.0,1.0,1.0,3
45.0,7.0,1.0,14.0,237
13.0,12.0,1.0,2.0,16
6.0,1.0,62.0,1.0,2
48.0,1.0,2.0,1.0,1
7.0,55.0,4.0,1.0,38
5.0,35.0,1.0,2.0,143
21.0,10.0,137.0,28.0,109
14.0,2.0,1.0,24.0,84
1.0,62.0,1.0,1.0,2
12.0,1.0,2.0,7.0,1
6.0,2.0,4.0,4.0,20
26.0,15.0,31.0,1.0,1
21.0,9.0,1.0,1.0,29
1.0,1.0,14.0,1.0,101
5.0,55.0,100.0,116.0,2
1.0,69.0,84.0,6.0,1
1.0,26.0,1.0,2.0,14
42.0,1.0,2.0,528.0,1
13.0,2.0,37.0,55.0,1
1.0,6.0,1.0,1.0,1
1.0,1.0,58.0,6.0,4
1.0,5.0,4.0,2.0,1
7.0,1.0,1.0,3.0,8
1.0,1.0,22.0,1.0,2
9.0,1.0,1.0,11.0,42
2.0,1.0,103.0,3.0,44
31.0,1.0,134.0,58.0,1
1.0,1.0,2.0,1.0,11
1.0,8.0,1.0,1.0,4
12.0,4.0,7.0,1.0,55
29.0,1.0,53.0,1.0,86
1.0,1.0,85.0,2.0,1
4.0,3.0,1.0,6.0,43
2.0,1.0,20.0,14.0,4
1.0,6.0,204.0,1.0,2
3.0,1.0,1.0,2.0,1
33.0,1.0,34.0,1.0,2
17.0,1.0,2.0,68.0,36
13.0,2.0,1.0,1.0,3
3.0,28.0,1.0,2.0,19
3.0,21.0,1.0,43.0,204
3.0,4.0,17.0,16.0,20
2.0,33.0,1.0,2.0,8
564.0,31.0,4.0,1.0,1
1.0,3.0,56.0,3.0,19
1.0,3.0,4.0,5.0,3
33.0,3.0,1.0,1.0,8
4.0,5.0,2.0,217.0,25
5.0,6.0,2.0,7.0,5
2.0,1.0,1.0,3.0,42
1.0,1.0,1.0,1.0,1
8.0,68.0,9.0,2.0,19
1.0,2.0,3.0,4.0,1
1.0,51.0,2.0,3.0,3
14.0,85.0,2.0,1.0,2
1.0,2.0,15.0,5.0,22
1.0,10.0,1.0,4.0,1
2.0,2.0,18.0,2.0,32
7.0,4.0,28.0,1.0,1
13.0,7.0,4.0,3.0,116
14.0,7.0,13.0,4.0,1
73.0,1.0,1.0,9.0,2
154.0,2.0,1.0,5.0,8
3.0,2.0,1.0,2.0,88
3.0,2.0,1.0,3.0,2
5.0,1.0,1.0,4.0,58
3.0,3.0,1.0,49.0,3
1.0,11.0,1.0,3.0,2
3.0,1.0,2.0,6.0,41
1.0,1.0,2.0,2.0,2
1.0,27.0,1.0,1.0,5
1.0,1.0,1.0,3.0,2
1.0,1.0,5.0,1.0,17
7.0,1.0,1.0,71.0,95
1.0,14.0,58.0,117.0,6
2.0,6.0,4.0,1.0,11
5.0,145.0,147.0,6.0,46
20.0,40.0,1.0,16.0,5
1.0,1.0,1.0,2.0,8
4.0,14.0,5.0,6.0,5
37.0,2.0,4.0,4.0,8
11.0,2.0,29.0,6.0,4
2.0,1.0,1.0,1.0,6
78.0,5.0,4.0,5.0,2
8.0,8.0,10.0,8.0,1
3.0,1.0,121.0,3.0,285
1.0,7.0,106.0,18.0,27
42.0,5.0,1.0,23.0,3
8.0,3.0,1.0,3.0,1
53.0,15.0,3.0,130.0,41
74.0,10.0,57.0,43.0,4
1.0,1.0,35.0,1.0,80
2.0,1.0,6.0,7.0,108
17.0,7.0,4.0,1.0,1
47.0,4.0,21.0,12.0,1
1.0,5.0,3.0,3.0,1
14.0,1.0,102.0,1.0,2
17.0,10.0,180.0,2.0,9
2.0,1.0,1.0,1.0,7
1.0,14.0,14.0,4.0,10
78.0,14.0,3.0,5.0,25
2.0,2.0,27.0,4.0,79
8.0,1.0,132.0,1.0,110
10.0,8.0,1.0,46.0,1
9.0,2.0,13.0,5.0,1
27.0,57.0,229.0,1.0,60
2.0,13.0,1.0,1.0,1
45.0,6.0,2.0,546.0,120
15.0,2.0,39.0,54.0,1
