CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,4.0,1.0,9.0,2
5.0,4.0,2.0,13.0,2
1.0,4.0,12.0,2.0,63
1.0,12.0,2.0,111.0,9
473.0,2.0,15.0,14.0,58
11.0,1.0,72.0,1.0,2
2.0,3.0,54.0,2.0,5
1.0,9.0,24.0,1.0,1
3.0,5.0,15.0,1.0,1
27.0,53.0,12.0,1.0,1
1.0,51.0,1.0,2.0,2
1.0,79.0,9.0,1.0,2
1.0,11.0,9.0,5.0,262
18.0,1.0,63.0,4.0,1
35.0,1.0,43.0,1.0,61
26.0,16.0,1.0,6.0,25
1.0,1.0,1.0,4.0,2
1.0,2.0,16.0,1.0,4
6.0,3.0,8.0,8.0,1
2.0,8.0,15.0,1.0,24
2.0,24.0,1.0,1.0,146
2.0,1.0,22.0,1.0,1
1.0,4.0,42.0,3.0,1
1.0,1.0,2.0,3.0,237
1.0,7.0,2.0,1.0,5
1.0,2.0,3.0,2.0,20
2.0,1.0,13.0,13.0,100
62.0,1.0,3.0,1.0,175
5.0,163.0,3.0,90.0,67
84.0,50.0,7.0,1.0,6
2.0,1.0,43.0,1.0,2
3.0,19.0,5.0,1.0,19
1.0,2.0,1.0,1.0,72
20.0,2.0,3.0,1.0,6
62.0,3.0,15.0,1.0,34
17.0,1.0,1.0,3.0,1
1.0,1.0,1.0,1.0,2
8.0,3.0,9.0,1.0,1
2.0,1.0,1.0,1.0,1
5.0,43.0,3.0,1.0,2
57.0,21.0,20.0,1.0,4
1.0,2.0,31.0,25.0,2
1.0,23.0,1.0,2.0,12
9.0,1.0,1.0,2.0,1
5.0,33.0,1.0,2.0,9
29.0,1.0,1.0,1.0,2
11.0,3.0,1.0,2.0,25
17.0,11.0,1.0,3.0,110
1.0,1.0,1.0,6.0,2
10.0,1.0,1.0,1.0,7
3.0,10.0,1.0,2.0,2
6.0,46.0,37.0,1.0,1
1.0,1.0,1.0,7.0,2
1.0,9.0,109.0,1.0,8
3.0,4.0,4.0,11.0,22
31.0,21.0,41.0,1.0,4
5.0,2.0,1.0,3.0,2
1.0,2.0,6.0,1.0,23
2.0,37.0,11.0,10.0,4
1.0,2.0,2.0,4.0,1
4.0,51.0,3.0,12.0,13
2.0,28.0,46.0,2.0,1
50.0,3.0,39.0,1.0,1
1.0,7.0,5.0,4.0,1
1.0,1.0,6.0,1.0,13
5.0,1.0,23.0,1.0,9
31.0,1.0,1.0,1.0,17
1.0,1.0,7.0,1.0,15
2.0,1.0,12.0,2.0,1
1.0,8.0,48.0,30.0,2
2.0,2.0,59.0,10.0,1
11.0,1.0,9.0,2.0,38
6.0,1.0,9.0,2.0,1
5.0,1.0,62.0,1.0,3
1.0,2.0,1.0,42.0,29
429.0,11.0,15.0,20.0,1
1.0,3.0,50.0,4.0,1
6.0,15.0,2.0,84.0,81
1.0,62.0,3.0,56.0,5
1.0,9.0,3.0,2.0,43
1.0,1.0,19.0,2.0,6
1.0,1.0,3.0,1.0,13
4.0,8.0,1.0,3.0,1
37.0,2.0,4.0,1.0,1
1.0,6.0,47.0,2.0,5
1.0,82.0,2.0,3.0,164
19.0,38.0,15.0,1.0,62
39.0,84.0,5.0,4.0,4
66.0,1.0,7.0,3.0,35
1.0,4.0,1.0,4.0,5
2.0,1.0,10.0,2.0,1
1.0,5.0,29.0,7.0,20
5.0,14.0,2.0,2.0,1
4.0,3.0,17.0,7.0,1
5.0,6.0,1.0,1.0,2
1.0,5.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,2.0,1.0,13.0,179
5.0,9.0,1.0,4.0,14
2.0,8.0,1.0,19.0,1
1.0,6.0,1.0,3.0,45
1.0,49.0,54.0,4.0,16
5.0,2.0,1.0,6.0,133
9.0,2.0,10.0,6.0,118
5.0,7.0,75.0,1.0,1
23.0,2.0,1.0,1.0,1
1.0,3.0,44.0,2.0,1
2.0,4.0,1.0,55.0,2
1.0,166.0,2.0,1.0,31
1.0,91.0,11.0,1.0,194
83.0,38.0,1.0,1.0,68
6.0,1.0,1.0,6.0,77
36.0,1.0,101.0,9.0,5
13.0,2.0,68.0,5.0,54
78.0,2.0,4.0,1.0,1
44.0,1.0,15.0,2.0,120
1.0,1.0,17.0,4.0,21
2.0,2.0,24.0,1.0,2
2.0,3.0,62.0,1.0,43
37.0,3.0,62.0,3.0,21
1.0,1.0,4.0,1.0,18
6.0,8.0,13.0,2.0,1
4.0,1.0,86.0,1.0,5
16.0,48.0,1.0,4.0,1
2.0,2.0,8.0,1.0,14
2.0,2.0,65.0,1.0,5
73.0,1.0,1.0,1.0,1
3.0,9.0,15.0,1.0,1
2.0,7.0,1.0,1.0,1
45.0,2.0,3.0,16.0,2
10.0,1.0,10.0,37.0,258
6.0,1.0,2.0,3.0,115
44.0,16.0,60.0,3.0,1
6.0,2.0,1.0,1.0,64
5.0,13.0,7.0,9.0,2
21.0,2.0,1.0,1.0,9
10.0,18.0,2.0,1.0,1
12.0,27.0,7.0,8.0,17
4.0,1.0,1.0,1.0,138
25.0,1.0,3.0,1.0,1
18.0,1.0,6.0,1.0,4
5.0,7.0,1.0,1.0,6
1.0,12.0,20.0,2.0,2
1.0,1.0,22.0,26.0,186
36.0,1.0,10.0,24.0,16
13.0,50.0,10.0,1.0,2
1.0,34.0,1.0,7.0,1
1.0,10.0,1.0,4.0,36
1.0,62.0,1.0,1.0,129
7.0,1.0,1.0,1.0,109
1.0,2.0,1.0,1.0,82
7.0,15.0,62.0,110.0,2
16.0,8.0,4.0,6.0,20
1.0,52.0,1.0,2.0,1
1.0,63.0,129.0,477.0,27
9.0,17.0,1.0,52.0,91
20.0,2.0,1.0,1.0,14
1.0,6.0,2.0,6.0,1
4.0,1.0,29.0,2.0,1
2.0,3.0,5.0,3.0,1
1.0,1.0,96.0,1.0,4
1.0,1.0,75.0,11.0,1
32.0,1.0,1.0,3.0,8
16.0,1.0,1.0,55.0,2
12.0,1.0,28.0,1.0,41
3.0,1.0,1.0,1.0,43
2.0,7.0,51.0,1.0,1
529.0,4.0,4.0,2.0,10
1.0,1.0,1.0,6.0,4
1.0,1.0,10.0,14.0,50
30.0,3.0,1.0,1.0,83
4.0,1.0,88.0,2.0,1
4.0,6.0,126.0,1.0,42
2.0,1.0,2.0,47.0,4
1.0,1.0,6.0,1.0,1
8.0,1.0,52.0,38.0,1
1.0,2.0,76.0,12.0,2
1.0,27.0,1.0,1.0,34
14.0,20.0,15.0,3.0,3
1.0,3.0,182.0,1.0,18
1.0,32.0,1.0,138.0,204
2.0,29.0,26.0,5.0,18
7.0,2.0,2.0,3.0,7
2.0,4.0,1.0,1.0,1
14.0,6.0,1.0,3.0,16
67.0,1.0,1.0,3.0,3
120.0,1.0,13.0,1.0,8
3.0,64.0,1.0,2.0,22
3.0,2.0,4.0,4.0,5
2.0,49.0,49.0,2.0,39
3.0,83.0,4.0,1.0,1
2.0,2.0,1.0,3.0,17
1.0,10.0,2.0,3.0,1
1.0,2.0,2.0,8.0,1
1.0,4.0,1.0,1.0,2
1.0,7.0,1.0,3.0,17
1.0,5.0,6.0,3.0,1
5.0,1.0,1.0,48.0,32
17.0,2.0,2.0,2.0,1
1.0,2.0,15.0,5.0,115
4.0,2.0,1.0,1.0,2
29.0,1.0,16.0,1.0,7
11.0,3.0,22.0,3.0,77
1.0,10.0,3.0,1.0,2
72.0,1.0,12.0,38.0,55
7.0,1.0,1.0,106.0,3
2.0,20.0,1.0,3.0,2
1.0,1.0,1.0,8.0,40
38.0,1.0,1.0,2.0,5
4.0,1.0,1.0,6.0,2
38.0,11.0,1.0,4.0,17
66.0,5.0,1.0,1.0,90
1.0,133.0,2.0,3.0,4
2.0,35.0,2.0,4.0,5
15.0,1.0,1.0,3.0,43
43.0,14.0,1.0,16.0,4
14.0,1.0,4.0,20.0,8
16.0,2.0,1.0,3.0,5
1.0,1.0,50.0,122.0,8
1.0,5.0,4.0,34.0,4
77.0,8.0,133.0,1.0,6
2.0,1.0,1.0,7.0,2
6.0,6.0,1.0,10.0,267
7.0,4.0,5.0,3.0,27
8.0,3.0,24.0,1.0,1
26.0,14.0,1.0,2.0,41
2.0,7.0,3.0,1.0,4
39.0,1.0,4.0,1.0,80
15.0,1.0,110.0,4.0,108
1.0,4.0,94.0,3.0,1
7.0,4.0,1.0,1.0,1
2.0,4.0,1.0,44.0,1
1.0,1.0,3.0,5.0,2
1.0,7.0,44.0,1.0,9
2.0,1.0,20.0,525.0,7
18.0,11.0,6.0,49.0,10
7.0,14.0,4.0,19.0,22
1.0,2.0,14.0,8.0,70
6.0,1.0,3.0,2.0,109
47.0,8.0,86.0,30.0,1
10.0,2.0,154.0,2.0,1
4.0,54.0,1.0,57.0,55
2.0,10.0,13.0,2.0,1
1.0,6.0,1.0,1.0,112
1.0,2.0,24.0,1.0,1
2.0,27.0,126.0,2.0,1
14.0,6.0,1.0,9.0,11
1.0,1.0,10.0,1.0,1
2.0,14.0,216.0,1.0,1
1.0,37.0,1.0,1.0,41
2.0,2.0,2.0,2.0,2
5.0,29.0,37.0,35.0,4
3.0,2.0,1.0,2.0,10
